Term	Priority	Adjusted P	Odds ratio	N overlap	Overlap genes
Fatty Acid Beta Oxidation WP143	8.13369199496843	7.342235905318969e-05	7.004682013265705	13	CPT1A, TPI1, ACSL1, ACSL5, HADHA, CRAT, GCDH, ACADVL, ECI1, ACAT1, ACADM, ACSS2, DECR1
Mitochondrial Beta Oxidation WP5241	7.998927894628913	0.035237514680231244	7.865853658536586	4	ECI1, ACADSB, DECR1, HSD17B10
Iron Sulfur Cluster Biogenesis WP5152	7.345047989341382	0.011699340212374721	7.086446886446886	6	HSPA9, GLRX5, FDX1, FDXR, NFU1, CIAO2B
Mitochondrial Complex I Assembly Model OXPHOS System WP4324	7.319087910818843	1.418573089928074e-05	5.483110984956004	18	ACAD9, NDUFS6, NDUFS4, NDUFS3, NDUFS2, NDUFS1, NDUFB9, NDUFB8, NDUFB4, NDUFB3, TMEM70, NDUFV2, NDUFA8, NDUFA5, NDUFA3, NDUFAB1, NDUFAF3, NDUFA13
MFAP5 Effect On Permeability And Motility Of Endothelial Cells WP4560	7.230884697515797	0.006542741283766949	6.893097128894319	7	JUN, PXN, ITGB3, LPP, TJP1, ITGAV, VCL
Parkin Ubiquitin Proteasomal System Pathway WP2359	7.100046838151654	7.239994177206417e-06	4.897792758508209	21	HSPA9, HSPA5, HSPA8, HSPA2, HSPA4, UBE2G2, PSMC6, PSMC4, PSMC1, PSMD11, PSMD13, PSMD12, TUBAL3, TUBB1, PSMD9, TUBB8, TUBB6, PSMD3, PSMD4, PSMD2, SNCA
Ciliary Landscape WP4352	7.082369331107926	4.132914236219006e-07	3.067209302325582	44	DYNC1LI1, MYL6, PSMC6, PSMC4, VIM, CALM1, RALB, NUP88, ARFGAP3, AIMP1, NUDC, LRPPRC, WDR26, IQGAP2, DYNLL1, DYNLL2, MAPRE2, GDI1, NEFM, COPS5, COPS6, COPS3, COPS8, RAB21, LSM4, DYNLRB1, IFT27, EIF5B, MCM4, MCM5, MCM7, IFT46, MCM2, PSMD13, PSMD12, VPS4A, DNPEP, RBM14, NDUFA5, EHBP1, GLB1, RAB14, HDAC1, HDAC2
G13 Signaling WP524	7.017972965782131	0.00017382839886484472	5.925812385039852	13	RHOA, PPP1CB, PIK3CB, PKN1, PFN1, CALM1, ROCK1, ROCK2, IQGAP2, ARHGDIB, CFL2, GNA13, CFL1
Non Homologous End Joining WP438	6.871043728886031	0.04716784062682107	6.741811846689895	4	XRCC6, XRCC4, LIG4, PRKDC
TCA Cycle In Senescence WP5050	6.871043728886031	0.04716784062682107	6.741811846689895	4	FH, GOT1, ME2, ME1
Dopamine Metabolism WP2436	6.756964440025183	0.023539665317891218	6.557860484034981	5	NQO1, SOD1, PPP2CB, PRKACB, PRKACA
Mevalonate Arm Of Cholesterol Biosynthesis Pathway WP4190	6.756964440025183	0.023539665317891218	6.557860484034981	5	ACAT1, ACAT2, HMGCL, PMVK, MVD
Purine Metabolism WP4792	6.756964440025183	0.023539665317891218	6.557860484034981	5	ADSL, APRT, ATIC, ADSS2, HPRT1
Mitochondrial Complex III Assembly WP4921	6.700821778732209	0.014297661669561897	6.441891441891442	6	UQCRB, UQCR10, UQCR11, UQCRH, LYRM7, UQCRQ
Airway Smooth Muscle Cell Contraction WP4962	6.700821778732209	0.014297661669561897	6.441891441891442	6	RHOA, ROCK1, ROCK2, GDI1, PPP1CB, CALM1
Lipid Metabolism Pathway WP3965	6.5632577088451285	0.0014439170221620871	5.9167686658506735	10	PRKAB2, PRKAR1A, PRKAA1, ACACA, AKT3, PRKAR2B, PRKAR2A, ACSS2, PRKACB, PRKACA
NRF2 ARE Regulation WP4357	6.319623932297871	0.005804980113650222	5.910757946210269	8	NQO1, GSK3B, SRC, KEAP1, CUL3, AIMP2, HMOX1, FYN
Translation Factors WP107	6.1979864280571	0.00018156644916546893	4.941682013505218	15	EIF5B, EIF1AX, EIF4H, EIF4E, EIF2B3, EIF2S1, EIF3J, EIF4G1, EIF3E, EIF3B, EIF4EBP1, GSPT2, EEF1B2, EEF2K, EIF2B1
Mitochondrial Long Chain Fatty Acid Beta Oxidation WP368	6.160241351040529	0.017552330340373082	5.904761904761905	6	ACADVL, CPT1A, ECI1, ACSL1, ACADM, HADHA
Pathogenic Escherichia Coli Infection WP2272	6.095115538095619	0.00014981259950713483	4.745945945945946	16	RHOA, KRT18, ROCK1, ROCK2, TUBAL3, ARPC1B, TUBB1, ARPC5L, TUBB8, TUBB6, ARPC3, NCL, HCLS1, ITGB1, ACTG1, FYN
Ebola Virus Infection In Host WP4217	5.914813033741618	1.5015075503915292e-05	3.423320969867884	29	GSN, ACTN4, EGFR, RELB, KPNA1, HLA-C, HLA-A, HLA-B, EIF2S1, ACTG1, TBK1, CTSB, RHOA, ITGA3, CAV1, ITGA2, RHOB, RHOC, PIK3CB, RAB7A, VPS4A, CLTC, EPS15, VPS33A, DAB2IP, ITGB1, ITGB3, ITGAV, VPS39
Fas Ligand Pathway And Stress Induction Of Heat Shock Proteins WP314	5.90892259351977	0.0006339428500671709	4.968750618065307	13	JUN, NFX1, ACTG1, LMNB1, PRKDC, HSPB1, PAK2, ARHGDIB, CASP10, CASP3, FADD, MAP3K7, SPTAN1
Perturbations Host Cell Autophagy Induced By SARS CoV 2 Prots WP4936	5.72538569322916	0.000793480098205858	4.813228080931943	13	ATG3, GABARAPL2, RPS6, VPS33A, PKM, VAMP8, AKT1S1, TAX1BP1, RAB7A, MAP1LC3B, LAMP2, ATG7, VPS39
TCA Cycle Aka Krebs Or Citric Acid Cycle WP78	5.705612163290877	0.020522140472392873	5.4502676810369115	6	FH, DLST, SDHC, CS, SUCLA2, ACO2
Glycine Metabolism Including IMDs WP5028	5.545875982559693	0.03936021364579511	5.364967552276887	5	GLRX5, IBA57, GCSH, NFU1, PNPO
Progeria Associated Lipodystrophy WP5103	5.480026942972731	0.015113809223621932	5.168753817959683	7	SMAD3, SMAD2, LMNB1, RECQL, ZMPSTE24, POLD1, BANF1
Metabolic Reprogramming In Colon Cancer WP4290	5.333551016032356	0.001875256483534436	4.583728652751423	12	GOT2, PGAM1, PYCR2, GLUD1, PKM, PFKL, ACO2, GAPDH, FH, DLST, PDHB, GLS
Mitochondrial Fatty Acid Oxidation Disorders WP5123	5.310460567119711	0.024578803083406715	5.060701203558346	6	ACADVL, CPT1A, ECI1, ACSL1, ACADM, HADHA
Cohesin Complex Cornelia De Lange Syndrome WP5117	5.274150768317758	0.0046909292032389326	4.73219094247246	10	PPP2R1A, PPP2R5E, PPP2R5D, MAU2, CDK1, PDS5B, SMC3, PPP2CB, RAD21, PPP2R1B
mRNA Processing WP411	5.249427486341948	7.516148329122612e-05	3.2479338842975203	27	CPSF3, SNRPA, SRSF3, SNRPE, RNMT, SRSF2, HNRNPU, NXF1, SNRPD2, TXNL4A, SUPT5H, SRPK2, PRPF8, PCBP2, FUS, NCBP2, DNAJC8, SFPQ, TMED10, CELF1, PTBP1, RBM39, PRMT1, NUDT21, HNRNPH1, SF3A1, U2AF2
DNA Mismatch Repair WP531	5.1715869321597205	0.017552330340373082	4.864457939559452	7	RFC2, LIG1, RFC3, RPA2, POLD1, POLD2, MSH6
SARS CoV 2 Nsp1 Inhibits Translation Initiation In Host Cell WP5027	5.090747985154244	0.04827429831292718	4.917632702867603	5	EIF1AX, EIF2S1, EIF3J, EIF3E, EIF3B
Gastrin Signaling WP4659	5.0646675409827155	0.00013540670018370558	3.2690441121571454	25	BAD, RPS6, ROCK1, EGFR, CCND1, PRKCD, TCF4, PXN, ARHGEF28, EIF4EBP1, PRKACA, RHOA, ANXA2, JUN, RHOB, CXCL8, GSK3B, ELAVL1, CASP3, TJP1, CRK, ITGB1, SRC, PTGS2, FYN
Hereditary Leiomyomatosis And Renal Cell Carcinoma Pathway WP4206	4.95847984537194	0.030927311790205445	4.723076923076923	6	KEAP1, RPS6, CUL3, PDHB, PRKAA1, ACACA
TGF Beta Signaling Pathway WP366	4.880732197288973	0.00014981259950713483	3.0323450134770886	27	NUP214, PML, COPS5, APP, ROCK1, PAK2, CCND1, MAP3K7, SMAD3, SMAD2, PRKAR2A, JUNB, RHOA, JUN, SMURF1, CAV1, ITGA2, FN1, ZEB1, DAB2, CDK1, STRAP, ITGB1, SRC, HDAC1, TGFB1I1, ITGB3
Prion Disease Pathway WP3995	4.864048578999884	0.010005178287924587	4.433944954128441	9	TBP, HSPA5, PRNP, CTCF, CHD2, SMC3, RAD21, CASP3, FYN
Leptin Signaling WP2034	4.775134620024186	0.0008731198487972391	3.666726266972118	17	PTPN1, RHOA, BAD, RPS6, KHDRBS1, GSK3B, ROCK1, ROCK2, PRKAA1, ACACA, CFL2, EIF4E, KPNA4, SRC, EIF4EBP1, FYN, IKBKG
Host Pathogen Interaction Of Human CoV Interferon Induction WP4880	4.6740119762924515	0.011715196810481818	4.256366972477064	9	JUN, STAT2, TYK2, MYD88, MAVS, OAS2, TBK1, IKBKG, MAP3K7
DNA Replication WP466	4.6260517503607055	0.006264143785574286	4.067743417023882	11	RFC2, RFC3, RPA2, CDC7, MCM4, MCM5, MCM7, UBA52, MCM2, POLD1, POLD2
EGF EGFR Signaling WP437	4.593240938528569	0.00020900420280729564	2.748927652273377	30	STAMBP, RIN1, STXBP1, RALB, ROCK1, RALA, PEBP1, EGFR, ASAP1, CFL1, AP2S1, PRKCD, SH3KBP1, EIF4EBP1, EPS8, GJA1, STMN1, JUN, CAV1, PTPRR, RAP1A, ATXN2, EPS15, CRK, ARF6, SRC, NDUFA13, AP2A1, RPS6KA3, CSK
Alzheimer 39 S Disease WP5124	4.524650153639938	0.00013540670018370558	2.3469663651998323	43	BAD, DKK1, PSMC6, PSMC4, PSMC1, CALM1, APP, TUBAL3, PSMD9, AKT3, PSMD3, PSMD4, PSMD2, NCSTN, SNCA, FZD6, FADD, MME, PSMA6, PSMA7, PSMA5, PSMA3, PTGS2, PSMB5, PSMB4, PSMB1, TUBB1, NRAS, TUBB8, TUBB6, EIF2S1, PIK3CB, GSK3B, PSMD13, PSMD12, ITPR2, PIK3R4, CASP3, VDAC2, VDAC1, SLC25A5, GAPDH, HSD17B10
Alzheimer 39 S Disease And miRNA Effects WP2059	4.524650153639938	0.00013540670018370558	2.3469663651998323	43	BAD, DKK1, PSMC6, PSMC4, PSMC1, CALM1, APP, TUBAL3, PSMD9, AKT3, PSMD3, PSMD4, PSMD2, NCSTN, SNCA, FZD6, FADD, MME, PSMA6, PSMA7, PSMA5, PSMA3, PTGS2, PSMB5, PSMB4, PSMB1, TUBB1, NRAS, TUBB8, TUBB6, EIF2S1, PIK3CB, GSK3B, PSMD13, PSMD12, ITPR2, PIK3R4, CASP3, VDAC2, VDAC1, SLC25A5, GAPDH, HSD17B10
Cytosolic DNA Sensing Pathway WP4655	4.505317117646628	0.0013627128430700318	3.476527562893415	17	POLR3A, POLR3D, POLR3E, NLRX1, ADAR, PYCARD, CASP10, FADD, ISG15, MAVS, POLR1C, POLR1D, TBK1, TRIM25, TREX1, POLR2H, IKBKG
Mitochondrial Complex IV Assembly WP4922	4.502155960494374	0.013289084157145008	4.092448835568102	9	NDUFA4, COX20, COX5A, COX7C, TACO1, COX5B, COX7A2, COX4I1, COA6
Network Map Of SARS CoV 2 Signaling WP5115	4.49201929647939	0.00014981259950713483	2.3562272511473332	42	SIGMAR1, GABARAPL2, ATP6AP1, INTS4, MOV10, CFI, TBK1, APOH, JUNB, CTSB, JUN, FN1, TF, CTSZ, MAP1LC3B, PTGS2, IKBKG, GSN, RPS6, TP53I3, ADAM9, CLCC1, MYD88, MAVS, EIF4EBP1, ACTG1, CCNB1, G3BP2, MARK2, GGH, HSPA8, ITGA3, OAS2, AKT1S1, ALB, CDK1, ATP13A3, CXCL8, CASP3, EIF4E, VPS33A, FYN
Autophagy WP4923	4.455998275779737	0.019021506423308288	4.110343361326672	8	ATG3, UVRAG, PRKAB2, AKT1S1, PIK3R4, PRKAA1, MAP1LC3B, ATG7
Microtubule Cytoskeleton Regulation WP2038	4.45115967134786	0.005592886372939361	3.83922893481717	12	CLIP1, PTPRA, CDK1, MAPRE1, GSK3B, SRC, ROCK1, DPYSL2, STMN1, CFL2, MARK2, PRKACA
Retinoblastoma Gene In Cancer WP2446	4.413595220110721	0.0010809381710024015	3.268254180602007	19	RFC3, CDC7, CDK4, MSH6, MCM4, CCDC6, CDK1, MCM7, HMGB2, TYMS, CCND1, RRM1, RPA2, DNMT1, HDAC1, PRKDC, SMC3, CCNB1, STMN1
Androgen Receptor Signaling WP138	4.413595220110721	0.0010809381710024015	3.268254180602007	19	RHOA, JUN, CAV1, RHOB, RAN, GSK3B, ROCK1, ROCK2, PARK7, EGFR, CCND1, SMAD3, DSTN, SRC, HDAC1, TGFB1I1, FHL2, BAG1, RACK1
Fatty Acid Biosynthesis WP357	4.380213565974799	0.04466964364380814	4.166989872872226	6	ACSL1, ACSL5, ACACA, SCD, ACSS2, DECR1
Vasopressin Regulated Water Reabsorption WP5085	4.351624332280637	0.008522615483389716	3.8280681531645113	11	DYNLL1, DYNLL2, DYNC1LI1, DYNC1LI2, RAB5B, RAB5C, DCTN2, ARHGDIB, STX4, PRKACB, PRKACA
Ferroptosis WP4313	4.322375343306822	0.0027786887733089204	3.485537861553461	15	ACSL1, TXNRD1, ACSL5, TF, HSPB1, MAP1LC3A, MAP1LC3B, AKR1C2, PRNP, VDAC2, FTL, PCBP1, PCBP2, HMOX1, ATG7
TROP2 Regulatory Signaling WP5300	4.226805775007084	0.009780618286934259	3.7185023182573707	11	JUN, PRKCD, FN1, CDK4, VIM, ITGB1, SRC, EGFR, MDK, CCND1, RACK1
Intracellular Trafficking Proteins Involved In CMT Neuropathy WP4856	4.20666137227041	0.03298462186841377	3.9370800244349415	7	FIG4, RAB7A, RAB3B, LRSAM1, HSPB1, NDRG1, RAB4A
Intraflagellar Transport Proteins Binding To Dynein WP4532	4.20666137227041	0.03298462186841377	3.9370800244349415	7	DYNLL1, DYNLL2, DYNC1LI1, DYNC1LI2, DYNLRB1, IFT46, IFT27
Primary Focal Segmental Glomerulosclerosis FSGS WP2572	4.199945373121675	0.00273780723172514	3.327557222294064	16	ACTN4, ITGA3, LAMB2, DKK1, VIM, ILK, MME, MYO1E, VCL, ITGB1, SCARB2, CD151, ITGB3, FYN, ITGAV, SYNPO
Focal Adhesion WP306	4.137180029158817	0.0004569705927987848	2.441293122801766	34	ACTN4, BAD, MYL9, AKT3, KDR, RHOA, JUN, FN1, RAP1A, RAP1B, COL4A2, PPP1CB, ROCK1, ROCK2, EGFR, PAK2, RELN, CCND1, VCL, PXN, ACTG1, ITGA3, CAV1, ITGA2, LAMB2, PIK3CB, GSK3B, ILK, CRK, ITGB1, SRC, ITGB3, FYN, ITGAV
Metabolic Epileptic Disorders WP5355	4.058169571469083	0.0020853976248880655	3.0466361746361748	19	TPI1, GLUD1, ETHE1, ALDOA, ACAT1, GOT2, GOT1, PGAM1, SQOR, PKM, ALDH7A1, PFKL, SPCS1, SLC25A5, GAPDH, GCDH, PFKP, DHTKD1, DLAT
N Glycan Biosynthesis WP5153	4.031355377869189	0.00735117109868082	3.420437359493153	13	DPM1, DPM3, DPAGT1, B4GALT1, RPN2, MPDU1, ALG8, DDOST, DAD1, STT3B, STT3A, GANAB, MAN2A1
Eukaryotic Transcription Initiation WP405	4.018606040123126	0.015181136811025498	3.5835095137420723	10	TBP, POLR3D, ERCC2, POLR3E, POLR1D, ILK, GTF2E2, POLR2B, POLR2G, POLR2H
Metabolic Reprogramming In Pancreatic Cancer WP5220	4.018606040123126	0.015181136811025498	3.5835095137420723	10	GOT2, GOT1, CS, GLUD1, PKM, PFKL, PDHB, ME1, DLAT, LDLR
Nanoparticle Mediated Activation Of Receptor Signaling WP2643	4.012964906217065	0.03910312841962479	3.7579274726495253	7	FN1, ITGB1, SRC, PXN, EGFR, NRAS, AKT3
Integrin Mediated Cell Adhesion WP185	3.9127377299979487	0.0023305351296325195	2.894689414874444	20	ROCK1, ROCK2, PAK2, AKT3, VCL, PXN, ITGA3, CAV1, ITGA2, ITGAE, ILK, RAP1A, RAP1B, CRK, ITGB1, SRC, ITGB3, CSK, FYN, ITGAV
Macrophage Stimulating Protein MSP Signaling WP5353	3.8898375568991144	0.002160458509354903	2.833053268358259	21	RPS6, VIM, PDCD4, NDRG1, KDR, SMAD3, SMAD2, JUN, FN1, ZEB1, ACTA2, CXCL8, GSK3B, HSPB1, ACACA, CPT1A, TJP1, CLDN5, ITGB1, SRC, RPS6KA3
Androgen Receptor Network In Prostate Cancer WP2263	3.843997336684722	0.0023305351296325195	2.801075827119982	21	BAD, MSH6, FKBP5, MRE11, NDRG1, CCND1, SMAD3, SMAD2, ACTL6A, PXN, EIF4EBP1, PRKDC, ABCC4, JUN, CDK4, CDK1, RAP1A, RAP1B, CASP3, RAD50, CRK
Novel Intracellular Components Of RIG I Like Receptor Pathway WP3865	3.778700123068022	0.010005178287924587	3.2061618638871856	13	CXCL8, DDX3X, NLRX1, CASP10, FADD, MAP3K7, DDX17, ISG15, MAVS, PIN1, TBK1, TRIM25, IKBKG
AGE RAGE Pathway WP2324	3.7480473551294207	0.008618437463513711	3.1281629818266	14	RHOA, JUN, MMP14, ROCK1, EGFR, CASP3, SMAD3, SMAD2, PRKCD, SOD1, DDOST, MYD88, SRC, LGALS3
Physico Chemical Features And Toxicity Associated Pathways WP3680	3.7480473551294207	0.008618437463513711	3.1281629818266	14	GPX1, RHOA, JUN, FN1, PFN2, PFN1, GSK3B, ROCK2, EGFR, FZD6, SOD1, SRC, TMSB4X, NEFM
Overlap Between Signal Transduction Pathways LMNA Laminopathies WP4879	3.7416715735613564	0.012783174797061697	3.227272727272727	12	HMGA2, AGO2, CDK4, GSK3B, ZMPSTE24, EMD, SMAD3, SMAD2, LEMD3, HDAC1, TMPO, JUNB
Glycolysis And Gluconeogenesis WP534	3.6926552951060447	0.020522140472392873	3.2843737250102	10	GOT2, TPI1, GOT1, PGAM1, PKM, PFKL, ALDOA, GAPDH, PFKP, DLAT
Glycogen Synthesis And Degradation WP500	3.6745515643379294	0.027155442198860635	3.3240825688073397	9	PHKA2, PPP2R1A, PPP2R5E, PPP2R5D, CALM1, GSK3B, PPP2CB, PPP2R1B, GYG1
Chromosomal And Microsatellite Instability In Colorectal Cancer WP4216	3.659076016291218	0.008353377955116445	3.0116740019352624	15	RHOA, JUN, BAD, MSH6, GSK3B, RALB, RALA, CCND1, AKT3, CASP3, SMAD3, SMAD2, DDB2, PTGS2, TBK1
Hippo Merlin Signaling Dysregulation WP4541	3.6371737208422914	0.003135656796408461	2.638306617344842	22	PPP1CB, EPHA2, EGFR, NRAS, PAK2, CCND1, KDR, CCN2, PRKAR1A, PRKAR2B, PRKAR2A, PRKACB, PRKACA, ITGA3, ITGA2, ITGAE, NF2, STK3, DDB1, ITGB1, ITGB3, ITGAV
TAR Syndrome WP5362	3.6217208646205266	0.012323760082511695	3.077596566523605	13	PEX19, RBCK1, EGFR, CCAR2, SLK, HLA-C, HLA-A, HLA-B, ITGB1, HDAC2, TXN, SUMO2, CXCR4
Copper Homeostasis WP3286	3.62094686925838	0.0180349548357947	3.173345481158425	11	JUN, MT1H, ADAM9, APP, GSK3B, CCND1, CASP3, PRNP, COMMD1, SOD1, ATOX1
Envelope Proteins And Potential Roles In EDMD Physiopathology WP4535	3.592209350865208	0.022852125962315957	3.195441463495319	10	SMAD3, RHOA, SMAD2, LEMD3, TMPO, NRAS, CFL1, BANF1, EMD, CCN2
Urotensin II Mediated Signaling WP5158	3.5347315155069907	0.011699340212374721	2.960122699386503	14	RHOA, HSPA2, FN1, VCAM1, ACTA2, COL3A1, CDK1, GSK3B, EGFR, CASP3, SMAD3, SMAD2, HMOX1, PRKACA
Factors And Pathways Affecting IGF1 Akt Signaling WP3850	3.530979530231854	0.04373726110810738	3.2589157743866455	8	SMAD3, SMAD2, AKT1S1, ITGB1, GSK3B, ILK, MAP1LC3A, EIF4E
Apoptosis Related Network Due To Altered Notch3 Ovarian Cancer WP2864	3.45507743752801	0.02144748356501703	3.0254347114028968	11	HSPA5, SERBP1, VIM, APP, HSPB1, PAK2, NQO1, PKN1, HDAC1, CUL5, YBX3
MET In Type 1 Papillary Renal Cell Carcinoma WP4205	3.4243613988657375	0.01880490717383558	2.9577205882352944	12	JUN, BAD, PIK3CB, PRCC, NRAS, PAK2, RAP1A, RAP1B, AKT3, CRK, SRC, ELOA
Interferon Type I Signaling WP585	3.375211861446356	0.023539665317891218	2.9565217391304346	11	RPS6, TYK2, PDCD4, RAP1A, EIF4E, STAT2, PRMT1, CRK, EIF4EBP1, FYN, RACK1
7Q11 23 Copy Number Variation Syndrome WP4932	3.3688080599655064	0.007624493866923428	2.619892665474061	19	VPS28, DLST, CFL1, MVB12A, VPS37B, TBL2, ABHD11, NUP62, RFC2, HSPA2, CLTC, ACACA, EIF4H, ATP5PB, CLDN5, MYO1C, GAPDH, HDAC2, ATP5F1B
Amino Acid Metabolism WP3925	3.3488031545978267	0.010005178287924587	2.6861462814996924	17	RARS1, CS, GLUD1, ACO2, DLST, GLS, HIBCH, GOT2, GOT1, PKM, ALDH7A1, EPRS1, FH, HMGCL, ADH5, ACADM, ACAA1
Nucleotide Excision Repair WP4753	3.2479749267990004	0.04466964364380814	2.9541284403669725	9	RFC2, LIG1, RFC3, RPA2, DDB2, DDB1, ERCC2, POLD1, POLD2
Integrated Cancer Pathway WP1971	3.2479749267990004	0.04466964364380814	2.9541284403669725	9	SMAD3, SMAD2, BAD, RAD50, CDK4, MSH6, CDK1, MRE11, CASP3
16P11 2 Proximal Deletion Syndrome WP4949	3.2347001056234803	0.017552330340373082	2.71678567836669	14	UNC13B, TCP1, PPP2R1A, PPP2R5D, CCT6A, CCDC6, ALDOA, CCT3, TAOK2, KMT2D, PPP2CB, CDIPT, CCT8, CCT5
PPAR Signaling WP3942	3.225731348987466	0.020372469972700355	2.7470000875886837	13	ACSL1, ACSL5, SCD, ACOX2, ACOX1, ILK, ME1, CPT1A, FABP4, FABP5, ANGPTL4, ACADM, ACAA1
1P36 Copy Number Variation Syndrome WP5345	3.153648414417199	0.012314892227176414	2.509789450835685	18	ATAD3A, DKK3, SSU72, PANK4, DLST, SMAD3, SMAD2, INTS4, COMMD1, ISG15, CUL3, MRPL20, HSPA8, MCM2, INTS11, ELAVL1, ARF6, TRIM25
Pancreatic Adenocarcinoma Pathway WP4263	3.1375216307684575	0.01539067372750185	2.560860614914669	16	RHOA, BAD, PIK3CB, CDK4, RALB, RALA, PEBP1, EGFR, PAK2, CCND1, AKT3, SMAD3, SMAD2, PRKCD, DDB2, IKBKG
G Protein Signaling WP35	3.0425705168831065	0.0180349548357947	2.4932109142635457	16	RHOA, GNG12, CALM1, AKAP9, NRAS, PDE4B, PRKCD, PRKAR1A, GNB2, GNAI1, GNA14, PRKAR2B, GNA13, PRKAR2A, PRKACB, PRKACA
Hepatitis B Infection WP4666	2.99195356283309	0.010005178287924587	2.225462962962963	24	BAD, NRAS, AKT3, MAP3K7, SMAD3, SMAD2, ATP6AP1, MYD88, MAVS, TBK1, JUN, TYK2, PIK3CB, CXCL8, DDX3X, YWHAB, CASP10, CASP3, FADD, STAT2, DDB2, DDB1, SRC, IKBKG
Head And Neck Squamous Cell Carcinoma WP4674	2.9333689420679225	0.031664302783373365	2.5211828205566333	13	RPS6, PIK3CB, CDK4, KEAP1, EGFR, PRKAA1, NRAS, CCND1, AKT3, FADD, EIF4E, CUL3, EIF4EBP1
