Quantify Compound Summary Report 

Printed Wed Oct 16 10:34:44 2024

Compound 1:  IS_LPC_17:0

	#	Name	Std. Conc	RT	Area	IS Area	Response	Primary Flags	Sample Text
15	15	EC72_Lipidomics_000109	0.000	3.93	990.196		990.196	bb	POS_072-130_0然_4
16	16	EC72_Lipidomics_000110	0.000	3.93	1027.050		1027.050	bb	POS_072-131_0然_4
26	26	EC72_Lipidomics_000120	0.000	3.93	1549.751		1549.751	bb	POS_072-132_5 然 epi_4
25	25	EC72_Lipidomics_000119	0.000	3.92	1294.526		1294.526	bb	POS_072-133_5 然 epi_4
28	28	EC72_Lipidomics_000122	0.000	3.93	1390.643		1390.643	bb	POS_072-134_5 然 epi_4
47	47	EC72_Lipidomics_000141	0.000	3.93	1434.175		1434.175	bb	POS_072-135_5 然 nor_4
14	14	EC72_Lipidomics_000108	0.000	3.92	1261.108		1261.108	bb	POS_072-136_5 然 nor_4
34	34	EC72_Lipidomics_000128	0.000	3.93	6592.771		6592.771	bb	POS_072-137_5 然 nor_4
6	6	EC72_Lipidomics_000100	0.000	3.93	1626.135		1626.135	bb	POS_072-138_5 然 epi:nor_4
29	29	EC72_Lipidomics_000123	0.000	3.93	1347.123		1347.123	bb	POS_072-139_5 然 epi:nor_4
39	39	EC72_Lipidomics_000133	0.000	3.93	1609.217		1609.217	bb	POS_072-140_5 然 epi:nor_4
46	46	EC72_Lipidomics_000140	0.000	3.94	1157.813		1157.813	bb	POS_072-141_TNFa_4
27	27	EC72_Lipidomics_000121	0.000	3.93	1817.017		1817.017	bb	POS_072-142_TNFa_4
38	38	EC72_Lipidomics_000132	0.000	3.93	1619.376		1619.376	bb	POS_072-143_TNFa_4
17	17	EC72_Lipidomics_000111	0.000	3.91	1049.643		1049.643	bb	POS_072-144_0然_24
35	35	EC72_Lipidomics_000129	0.000	3.93	1525.863		1525.863	bb	POS_072-145_0然_24
7	7	EC72_Lipidomics_000101	0.000	3.93	1479.378		1479.378	bb	POS_072-146_0然_24
44	44	EC72_Lipidomics_000138	0.000	3.93	1898.794		1898.794	bb	POS_072-147_5 然 epi_24
23	23	EC72_Lipidomics_000117	0.000	3.92	1602.021		1602.021	bb	POS_072-148_5 然 epi_24
45	45	EC72_Lipidomics_000139	0.000	3.93	1843.813		1843.813	bb	POS_072-149_5 然 epi_24
5	5	EC72_Lipidomics_000099	0.000	3.93	690.100		690.100	bb	POS_072-150_5 然 nor_24
9	9	EC72_Lipidomics_000103	0.000	3.93	5941.271		5941.271	bb	POS_072-151_5 然 nor_24
33	33	EC72_Lipidomics_000127	0.000	3.82	3118.493		3118.493	bb	POS_072-152_5 然 nor_24
3	3	EC72_Lipidomics_000097	0.000	3.96	5520.687		5520.687	bb	POS_072-153_5 然 epi:nor_24
24	24	EC72_Lipidomics_000118	0.000	3.93	4460.889		4460.889	bb	POS_072-154_5 然 epi:nor_24
8	8	EC72_Lipidomics_000102	0.000	3.93	2817.315		2817.315	bb	POS_072-155_5 然 epi:nor_24
4	4	EC72_Lipidomics_000098	0.000	3.93	1514.600		1514.600	bb	POS_072-156_TNFa_24
13	13	EC72_Lipidomics_000107	0.000	3.93	1555.071		1555.071	bb	POS_072-157_TNFa_24
37	37	EC72_Lipidomics_000131	0.000	3.93	1909.365		1909.365	bb	POS_072-158_TNFa_24
1	1	EC72_Lipidomics_000095	0.000	3.94	1311.246		1311.246	bb	Pool
11	11	EC72_Lipidomics_000105	0.000	3.92	1332.784		1332.784	bb	Pool
21	21	EC72_Lipidomics_000115	0.000	3.93	1395.839		1395.839	bb	Pool
31	31	EC72_Lipidomics_000125	0.000	3.93	1781.737		1781.737	bb	Pool
41	41	EC72_Lipidomics_000135	0.000	3.92	1182.240		1182.240	bb	Pool
49	49	EC72_Lipidomics_000143	0.000	3.93	1689.364		1689.364	bb	Pool
2	2	EC72_Lipidomics_000096	0.000						Solvent
10	10	EC72_Lipidomics_000104	0.000						Solvent
12	12	EC72_Lipidomics_000106	0.000						Solvent
20	20	EC72_Lipidomics_000114	0.000						Solvent
22	22	EC72_Lipidomics_000116	0.000						Solvent
30	30	EC72_Lipidomics_000124	0.000						Solvent
32	32	EC72_Lipidomics_000126	0.000						Solvent
40	40	EC72_Lipidomics_000134	0.000						Solvent
42	42	EC72_Lipidomics_000136	0.000						Solvent
48	48	EC72_Lipidomics_000142	0.000						Solvent
50	50	EC72_Lipidomics_000144	0.000						Solvent

Compound 3:  IS_TAG 17:0/17:0/17:0

	#	Name	Std. Conc	RT	Area	IS Area	Response	Primary Flags	Sample Text
36	36	EC72_Lipidomics_000130	30.000	9.75	331.918		331.918	bb	POS_072-126_0 然_0
43	43	EC72_Lipidomics_000137	30.000	9.75	378.729		378.729	bb	POS_072-127_0 然_0
18	18	EC72_Lipidomics_000112	30.000	9.74	239.445		239.445	bb	POS_072-128_0 然_0
19	19	EC72_Lipidomics_000113	30.000	9.74	412.623		412.623	bb	POS_072-129_0然_4
15	15	EC72_Lipidomics_000109	30.000	9.74	493.368		493.368	bb	POS_072-130_0然_4
16	16	EC72_Lipidomics_000110	30.000	9.75	428.283		428.283	bb	POS_072-131_0然_4
26	26	EC72_Lipidomics_000120	30.000	9.74	329.684		329.684	bb	POS_072-132_5 然 epi_4
25	25	EC72_Lipidomics_000119	30.000	9.75	598.479		598.479	bb	POS_072-133_5 然 epi_4
28	28	EC72_Lipidomics_000122	30.000	9.74	428.530		428.530	bb	POS_072-134_5 然 epi_4
47	47	EC72_Lipidomics_000141	30.000	9.75	399.592		399.592	bb	POS_072-135_5 然 nor_4
14	14	EC72_Lipidomics_000108	30.000	9.74	464.969		464.969	bb	POS_072-136_5 然 nor_4
34	34	EC72_Lipidomics_000128	30.000	9.74	616.628		616.628	bb	POS_072-137_5 然 nor_4
6	6	EC72_Lipidomics_000100	30.000	9.74	1280.559		1280.559	bb	POS_072-138_5 然 epi:nor_4
29	29	EC72_Lipidomics_000123	30.000	9.74	566.785		566.785	bb	POS_072-139_5 然 epi:nor_4
39	39	EC72_Lipidomics_000133	30.000	9.75	462.380		462.380	bb	POS_072-140_5 然 epi:nor_4
46	46	EC72_Lipidomics_000140	30.000	9.75	588.280		588.280	bb	POS_072-141_TNFa_4
27	27	EC72_Lipidomics_000121	30.000	9.74	456.108		456.108	bb	POS_072-142_TNFa_4
38	38	EC72_Lipidomics_000132	30.000	9.75	454.125		454.125	bb	POS_072-143_TNFa_4
17	17	EC72_Lipidomics_000111	30.000	9.79	464.544		464.544	bb	POS_072-144_0然_24
35	35	EC72_Lipidomics_000129	30.000	9.74	430.865		430.865	bb	POS_072-145_0然_24
7	7	EC72_Lipidomics_000101	30.000	9.74	461.959		461.959	bb	POS_072-146_0然_24
44	44	EC72_Lipidomics_000138	30.000	9.75	434.408		434.408	bb	POS_072-147_5 然 epi_24
23	23	EC72_Lipidomics_000117	30.000	9.75	493.956		493.956	bb	POS_072-148_5 然 epi_24
45	45	EC72_Lipidomics_000139	30.000	9.75	568.875		568.875	bb	POS_072-149_5 然 epi_24
5	5	EC72_Lipidomics_000099	30.000	9.74	222.392		222.392	bb	POS_072-150_5 然 nor_24
9	9	EC72_Lipidomics_000103	30.000	9.75	439.473		439.473	bb	POS_072-151_5 然 nor_24
33	33	EC72_Lipidomics_000127	30.000	9.74	370.417		370.417	bb	POS_072-152_5 然 nor_24
3	3	EC72_Lipidomics_000097	30.000	9.74	409.284		409.284	bb	POS_072-153_5 然 epi:nor_24
24	24	EC72_Lipidomics_000118	30.000	9.75	729.157		729.157	bb	POS_072-154_5 然 epi:nor_24
8	8	EC72_Lipidomics_000102	30.000	9.74	943.542		943.542	bb	POS_072-155_5 然 epi:nor_24
4	4	EC72_Lipidomics_000098	30.000	9.75	441.015		441.015	bb	POS_072-156_TNFa_24
13	13	EC72_Lipidomics_000107	30.000	9.74	544.996		544.996	bb	POS_072-157_TNFa_24
37	37	EC72_Lipidomics_000131	30.000	9.75	389.677		389.677	bb	POS_072-158_TNFa_24
1	1	EC72_Lipidomics_000095	30.000	9.75	455.946		455.946	bb	Pool
11	11	EC72_Lipidomics_000105	30.000	9.74	480.902		480.902	bb	Pool
21	21	EC72_Lipidomics_000115	30.000	9.75	479.453		479.453	bb	Pool
31	31	EC72_Lipidomics_000125	30.000	9.74	453.888		453.888	bb	Pool
41	41	EC72_Lipidomics_000135	30.000	9.75	502.070		502.070	bb	Pool
49	49	EC72_Lipidomics_000143	30.000	9.75	466.503		466.503	bb	Pool
2	2	EC72_Lipidomics_000096	30.000	9.74	47.477		47.477	bb	Solvent
10	10	EC72_Lipidomics_000104	30.000	9.74	49.769		49.769	bb	Solvent
12	12	EC72_Lipidomics_000106	30.000	9.75	44.440		44.440	bb	Solvent
20	20	EC72_Lipidomics_000114	30.000	9.73	36.500		36.500	bb	Solvent
22	22	EC72_Lipidomics_000116	30.000	9.73	57.250		57.250	bb	Solvent
30	30	EC72_Lipidomics_000124	30.000	9.73	53.039		53.039	bb	Solvent
32	32	EC72_Lipidomics_000126	30.000	9.74	41.088		41.088	bb	Solvent
40	40	EC72_Lipidomics_000134	30.000	9.74	53.421		53.421	bb	Solvent
42	42	EC72_Lipidomics_000136	30.000	9.74	52.830		52.830	bb	Solvent
48	48	EC72_Lipidomics_000142	30.000	9.75	42.641		42.641	bb	Solvent
50	50	EC72_Lipidomics_000144	30.000	9.75	55.059		55.059	bb	Solvent

Compound 4:  IS_TAG(15:0/18:1)_d7+NH4

	#	Name	Std. Conc	RT	Area	IS Area	Response	Primary Flags	Sample Text
36	36	EC72_Lipidomics_000130	30.000	9.56	0.594		0.594	bb	POS_072-126_0 然_0
43	43	EC72_Lipidomics_000137	30.000	9.20	3.162		3.162	bb	POS_072-127_0 然_0
18	18	EC72_Lipidomics_000112	30.000	9.52	5.155		5.155	bb	POS_072-128_0 然_0
19	19	EC72_Lipidomics_000113	30.000	9.47	1.782		1.782	bb	POS_072-129_0然_4
15	15	EC72_Lipidomics_000109	30.000	9.59	1.273		1.273	bb	POS_072-130_0然_4
16	16	EC72_Lipidomics_000110	30.000	9.62	1.367		1.367	bb	POS_072-131_0然_4
26	26	EC72_Lipidomics_000120	30.000	9.44	0.939		0.939	bb	POS_072-132_5 然 epi_4
25	25	EC72_Lipidomics_000119	30.000						POS_072-133_5 然 epi_4
28	28	EC72_Lipidomics_000122	30.000	9.41	0.848		0.848	bb	POS_072-134_5 然 epi_4
47	47	EC72_Lipidomics_000141	30.000	9.32	7.255		7.255	bb	POS_072-135_5 然 nor_4
14	14	EC72_Lipidomics_000108	30.000	9.59	6.146		6.146	bb	POS_072-136_5 然 nor_4
34	34	EC72_Lipidomics_000128	30.000	9.45	1.423		1.423	bb	POS_072-137_5 然 nor_4
6	6	EC72_Lipidomics_000100	30.000	9.41	0.706		0.706	bb	POS_072-138_5 然 epi:nor_4
29	29	EC72_Lipidomics_000123	30.000	9.41	0.981		0.981	bb	POS_072-139_5 然 epi:nor_4
39	39	EC72_Lipidomics_000133	30.000	9.40	0.859		0.859	bb	POS_072-140_5 然 epi:nor_4
46	46	EC72_Lipidomics_000140	30.000	9.40	0.534		0.534	bb	POS_072-141_TNFa_4
27	27	EC72_Lipidomics_000121	30.000	9.65	3.003		3.003	bb	POS_072-142_TNFa_4
38	38	EC72_Lipidomics_000132	30.000	9.41	1.681		1.681	bb	POS_072-143_TNFa_4
17	17	EC72_Lipidomics_000111	30.000	9.45	1.635		1.635	bb	POS_072-144_0然_24
35	35	EC72_Lipidomics_000129	30.000	9.65	6.763		6.763	bb	POS_072-145_0然_24
7	7	EC72_Lipidomics_000101	30.000	9.35	1.483		1.483	bb	POS_072-146_0然_24
44	44	EC72_Lipidomics_000138	30.000	9.29	0.240		0.240	bb	POS_072-147_5 然 epi_24
23	23	EC72_Lipidomics_000117	30.000	9.41	1.629		1.629	bb	POS_072-148_5 然 epi_24
45	45	EC72_Lipidomics_000139	30.000	9.59	6.948		6.948	bb	POS_072-149_5 然 epi_24
5	5	EC72_Lipidomics_000099	30.000	9.49	4.033		4.033	bb	POS_072-150_5 然 nor_24
9	9	EC72_Lipidomics_000103	30.000	9.46	0.666		0.666	bb	POS_072-151_5 然 nor_24
33	33	EC72_Lipidomics_000127	30.000	9.39	0.500		0.500	bb	POS_072-152_5 然 nor_24
3	3	EC72_Lipidomics_000097	30.000	9.46	1.398		1.398	bb	POS_072-153_5 然 epi:nor_24
24	24	EC72_Lipidomics_000118	30.000	9.42	5.234		5.234	bb	POS_072-154_5 然 epi:nor_24
8	8	EC72_Lipidomics_000102	30.000	9.30	131.650		131.650	bb	POS_072-155_5 然 epi:nor_24
4	4	EC72_Lipidomics_000098	30.000	9.35	2.995		2.995	bb	POS_072-156_TNFa_24
13	13	EC72_Lipidomics_000107	30.000	9.13	0.348		0.348	bb	POS_072-157_TNFa_24
37	37	EC72_Lipidomics_000131	30.000	9.41	0.829		0.829	bb	POS_072-158_TNFa_24
1	1	EC72_Lipidomics_000095	30.000	9.33	91.578		91.578	bb	Pool
11	11	EC72_Lipidomics_000105	30.000	9.32	90.692		90.692	bb	Pool
21	21	EC72_Lipidomics_000115	30.000	9.32	118.151		118.151	bb	Pool
31	31	EC72_Lipidomics_000125	30.000	9.31	107.551		107.551	bb	Pool
41	41	EC72_Lipidomics_000135	30.000	9.32	112.080		112.080	bb	Pool
49	49	EC72_Lipidomics_000143	30.000	9.32	106.645		106.645	bb	Pool
2	2	EC72_Lipidomics_000096	30.000	9.40	0.557		0.557	bb	Solvent
10	10	EC72_Lipidomics_000104	30.000	9.45	1.075		1.075	bb	Solvent
12	12	EC72_Lipidomics_000106	30.000						Solvent
20	20	EC72_Lipidomics_000114	30.000	9.38	1.140		1.140	bb	Solvent
22	22	EC72_Lipidomics_000116	30.000	9.41	1.256		1.256	bb	Solvent
30	30	EC72_Lipidomics_000124	30.000	9.59	0.561		0.561	bb	Solvent
32	32	EC72_Lipidomics_000126	30.000	9.65	0.647		0.647	bb	Solvent
40	40	EC72_Lipidomics_000134	30.000	9.66	1.835		1.835	bb	Solvent
42	42	EC72_Lipidomics_000136	30.000						Solvent
48	48	EC72_Lipidomics_000142	30.000	9.32	3.623		3.623	bb	Solvent
50	50	EC72_Lipidomics_000144	30.000	9.46	0.919		0.919	bb	Solvent

Compound 5:  IS_PG 17:0_17:0_DROP NOt sure about

	#	Name	Std. Conc	RT	Area	IS Area	Response	Primary Flags	Sample Text
36	36	EC72_Lipidomics_000130	0.000						POS_072-126_0 然_0
43	43	EC72_Lipidomics_000137	0.000	5.43	0.313		0.313	bb	POS_072-127_0 然_0
18	18	EC72_Lipidomics_000112	0.000						POS_072-128_0 然_0
19	19	EC72_Lipidomics_000113	0.000	5.48	2.295		2.295	bb	POS_072-129_0然_4
15	15	EC72_Lipidomics_000109	0.000	5.54	0.301		0.301	bb	POS_072-130_0然_4
16	16	EC72_Lipidomics_000110	0.000	5.35	0.160		0.160	bb	POS_072-131_0然_4
26	26	EC72_Lipidomics_000120	0.000	5.25	0.615		0.615	bb	POS_072-132_5 然 epi_4
25	25	EC72_Lipidomics_000119	0.000	5.16	2.820		2.820	bb	POS_072-133_5 然 epi_4
28	28	EC72_Lipidomics_000122	0.000	5.53	3.679		3.679	bb	POS_072-134_5 然 epi_4
47	47	EC72_Lipidomics_000141	0.000	5.33	1.443		1.443	bb	POS_072-135_5 然 nor_4
14	14	EC72_Lipidomics_000108	0.000	5.48	0.473		0.473	bb	POS_072-136_5 然 nor_4
34	34	EC72_Lipidomics_000128	0.000	5.37	0.488		0.488	bb	POS_072-137_5 然 nor_4
6	6	EC72_Lipidomics_000100	0.000	5.46	0.286		0.286	bb	POS_072-138_5 然 epi:nor_4
29	29	EC72_Lipidomics_000123	0.000	5.19	0.328		0.328	bb	POS_072-139_5 然 epi:nor_4
39	39	EC72_Lipidomics_000133	0.000						POS_072-140_5 然 epi:nor_4
46	46	EC72_Lipidomics_000140	0.000	5.51	0.285		0.285	bb	POS_072-141_TNFa_4
27	27	EC72_Lipidomics_000121	0.000	5.52	0.253		0.253	bb	POS_072-142_TNFa_4
38	38	EC72_Lipidomics_000132	0.000	5.28	0.244		0.244	bb	POS_072-143_TNFa_4
17	17	EC72_Lipidomics_000111	0.000	5.32	0.207		0.207	bb	POS_072-144_0然_24
35	35	EC72_Lipidomics_000129	0.000	5.42	0.035		0.035	bb	POS_072-145_0然_24
7	7	EC72_Lipidomics_000101	0.000	5.24	3.689		3.689	bb	POS_072-146_0然_24
44	44	EC72_Lipidomics_000138	0.000	5.33	0.978		0.978	bb	POS_072-147_5 然 epi_24
23	23	EC72_Lipidomics_000117	0.000	5.30	0.447		0.447	bb	POS_072-148_5 然 epi_24
45	45	EC72_Lipidomics_000139	0.000	5.34	0.602		0.602	bb	POS_072-149_5 然 epi_24
5	5	EC72_Lipidomics_000099	0.000	5.38	0.928		0.928	bb	POS_072-150_5 然 nor_24
9	9	EC72_Lipidomics_000103	0.000	5.34	0.619		0.619	bb	POS_072-151_5 然 nor_24
33	33	EC72_Lipidomics_000127	0.000	5.32	1.030		1.030	bb	POS_072-152_5 然 nor_24
3	3	EC72_Lipidomics_000097	0.000						POS_072-153_5 然 epi:nor_24
24	24	EC72_Lipidomics_000118	0.000	5.47	1.355		1.355	bb	POS_072-154_5 然 epi:nor_24
8	8	EC72_Lipidomics_000102	0.000						POS_072-155_5 然 epi:nor_24
4	4	EC72_Lipidomics_000098	0.000	5.35	0.406		0.406	bb	POS_072-156_TNFa_24
13	13	EC72_Lipidomics_000107	0.000	5.26	0.311		0.311	bb	POS_072-157_TNFa_24
37	37	EC72_Lipidomics_000131	0.000						POS_072-158_TNFa_24
1	1	EC72_Lipidomics_000095	0.000	5.32	1.963		1.963	bb	Pool
11	11	EC72_Lipidomics_000105	0.000	5.29	0.751		0.751	bb	Pool
21	21	EC72_Lipidomics_000115	0.000						Pool
31	31	EC72_Lipidomics_000125	0.000	5.35	0.486		0.486	bb	Pool
41	41	EC72_Lipidomics_000135	0.000	5.22	1.615		1.615	bb	Pool
49	49	EC72_Lipidomics_000143	0.000						Pool
2	2	EC72_Lipidomics_000096	0.000	5.41	0.013		0.013	bb	Solvent
10	10	EC72_Lipidomics_000104	0.000	5.29	0.597		0.597	bb	Solvent
12	12	EC72_Lipidomics_000106	0.000	5.38	0.531		0.531	bb	Solvent
20	20	EC72_Lipidomics_000114	0.000	5.25	1.404		1.404	bb	Solvent
22	22	EC72_Lipidomics_000116	0.000	5.49	0.867		0.867	bb	Solvent
30	30	EC72_Lipidomics_000124	0.000	5.34	0.158		0.158	bb	Solvent
32	32	EC72_Lipidomics_000126	0.000	5.20	0.311		0.311	bb	Solvent
40	40	EC72_Lipidomics_000134	0.000	5.28	0.427		0.427	bb	Solvent
42	42	EC72_Lipidomics_000136	0.000	5.29	0.232		0.232	bb	Solvent
48	48	EC72_Lipidomics_000142	0.000						Solvent
50	50	EC72_Lipidomics_000144	0.000						Solvent

Compound 6:  IS_PC_17:0/17:0

	#	Name	Std. Conc	RT	Area	IS Area	Response	Primary Flags	Sample Text
36	36	EC72_Lipidomics_000130	0.000	6.99	3637.285		3637.285	bb	POS_072-126_0 然_0
43	43	EC72_Lipidomics_000137	0.000	6.99	3805.238		3805.238	bb	POS_072-127_0 然_0
18	18	EC72_Lipidomics_000112	0.000	6.99	6295.123		6295.123	bb	POS_072-128_0 然_0
19	19	EC72_Lipidomics_000113	0.000	7.00	4195.935		4195.935	bb	POS_072-129_0然_4
15	15	EC72_Lipidomics_000109	0.000	6.97	3451.421		3451.421	bb	POS_072-130_0然_4
16	16	EC72_Lipidomics_000110	0.000	6.99	3672.862		3672.862	bb	POS_072-131_0然_4
26	26	EC72_Lipidomics_000120	0.000	7.00	3895.170		3895.170	bb	POS_072-132_5 然 epi_4
25	25	EC72_Lipidomics_000119	0.000	7.00	4128.326		4128.326	bb	POS_072-133_5 然 epi_4
28	28	EC72_Lipidomics_000122	0.000	6.99	2388.147		2388.147	bb	POS_072-134_5 然 epi_4
47	47	EC72_Lipidomics_000141	0.000	7.00	4028.058		4028.058	bb	POS_072-135_5 然 nor_4
14	14	EC72_Lipidomics_000108	0.000	7.00	3064.562		3064.562	bb	POS_072-136_5 然 nor_4
34	34	EC72_Lipidomics_000128	0.000	6.99	22708.590		22708.590	bb	POS_072-137_5 然 nor_4
6	6	EC72_Lipidomics_000100	0.000	6.95	93.289		93.289	bb	POS_072-138_5 然 epi:nor_4
29	29	EC72_Lipidomics_000123	0.000	6.99	3964.124		3964.124	bb	POS_072-139_5 然 epi:nor_4
39	39	EC72_Lipidomics_000133	0.000	7.00	3691.381		3691.381	bb	POS_072-140_5 然 epi:nor_4
46	46	EC72_Lipidomics_000140	0.000	6.99	3508.089		3508.089	bb	POS_072-141_TNFa_4
27	27	EC72_Lipidomics_000121	0.000	7.00	4545.236		4545.236	bb	POS_072-142_TNFa_4
38	38	EC72_Lipidomics_000132	0.000	7.00	4752.689		4752.689	bb	POS_072-143_TNFa_4
17	17	EC72_Lipidomics_000111	0.000	6.99	3908.422		3908.422	bb	POS_072-144_0然_24
35	35	EC72_Lipidomics_000129	0.000	6.98	4448.584		4448.584	bb	POS_072-145_0然_24
7	7	EC72_Lipidomics_000101	0.000	6.98	4206.637		4206.637	bb	POS_072-146_0然_24
44	44	EC72_Lipidomics_000138	0.000	7.00	5534.778		5534.778	bb	POS_072-147_5 然 epi_24
23	23	EC72_Lipidomics_000117	0.000	7.00	4797.880		4797.880	bb	POS_072-148_5 然 epi_24
45	45	EC72_Lipidomics_000139	0.000	7.00	4778.069		4778.069	bb	POS_072-149_5 然 epi_24
5	5	EC72_Lipidomics_000099	0.000	7.00	1250.731		1250.731	bb	POS_072-150_5 然 nor_24
9	9	EC72_Lipidomics_000103	0.000	7.01	4193.679		4193.679	bb	POS_072-151_5 然 nor_24
33	33	EC72_Lipidomics_000127	0.000	6.99	3484.850		3484.850	bb	POS_072-152_5 然 nor_24
3	3	EC72_Lipidomics_000097	0.000	7.00	7856.252		7856.252	bb	POS_072-153_5 然 epi:nor_24
24	24	EC72_Lipidomics_000118	0.000	7.00	10371.668		10371.668	bb	POS_072-154_5 然 epi:nor_24
8	8	EC72_Lipidomics_000102	0.000	6.98	6291.593		6291.593	bb	POS_072-155_5 然 epi:nor_24
4	4	EC72_Lipidomics_000098	0.000	7.01	3346.359		3346.359	bb	POS_072-156_TNFa_24
13	13	EC72_Lipidomics_000107	0.000	6.98	4075.400		4075.400	bb	POS_072-157_TNFa_24
