From	To
A0A7I2V2R5	ENSG00000197635.11
Q9NTI5	ENSG00000083642.19
P27487	ENSG00000197635.11
Q04446	ENSG00000114480.13
Q13347	ENSG00000084623.12
O60518	ENSG00000137040.10
P03897	ENSG00000198840.2
A0A805TBS0	ENSG00000107863.20
K7EPJ5	ENSG00000102858.13
A0A3B3IT47	ENSG00000047056.18
Q9H3M7	ENSG00000265972.6
A0A024QZ33	ENSG00000126653.18
P14868	ENSG00000115866.11
Q9BV57	ENSG00000182551.14
Q15717	ENSG00000066044.15
P52298	ENSG00000114503.11
P28482	ENSG00000100030.15
P63098	ENSG00000221823.11
H0YBQ0	ENSG00000197763
Q6RW13	ENSG00000177674.16
P29728	ENSG00000111335.14
Q99570	ENSG00000196455.8
D6RCP5	ENSG00000138639.18
P19827	ENSG00000055957.11
P02549	ENSG00000163554.15
P30419	ENSG00000136448.13
Q6P996	ENSG00000179889.20
Q6P996	ENSG00000275498.5
Q8TED9	ENSG00000157510.14
A0A0A0MSK5	ENSG00000143337.19
A0A590UJA9	ENSG00000164897.14
Q13571	ENSG00000162511.8
Q969M7	ENSG00000184182.19
Q8TCG1	ENSG00000163507.15
Q99536	ENSG00000108828.16
P15884	ENSG00000196628.20
Q9H2D6	ENSG00000100106.22
Q7Z4F1	ENSG00000197324.9
Q8WZ75	ENSG00000154133.15
H0YNG3	ENSG00000140612.14
E9PKZ4	ENSG00000175274.19
Q5QPA5	ENSG00000096080.12
Q8NHZ8	ENSG00000176386.9
Q9BY42	ENSG00000022277.13
A0A804HLD6	ENSG00000162430.18
P98194	ENSG00000017260.20
P15848	ENSG00000113273.17
O43815	ENSG00000115808.13
P33121	ENSG00000151726.16
P32780	ENSG00000110768.12
P32780	ENSG00000288114.1
O43399	ENSG00000101150.18
E9PS76	ENSG00000175376.9
P08240	ENSG00000182934.12
Q5T0Z6	ENSG00000135549.16
Q92692	ENSG00000130202.10
Q9BVA1	ENSG00000137285.11
O75521	ENSG00000198721.13
Q9HA65	ENSG00000104946.14
F5H442	ENSG00000074319.13
Q6ZNB6	ENSG00000170448.12
F6UJY1	ENSG00000178922.18
A0A7P0T8Q8	ENSG00000159063.14
U3KQK0	ENSG00000233822.6
A0A087X1C1	ENSG00000269226.8
A0A0C4DG17	ENSG00000168028.15
P54652	ENSG00000126803.10
P42345	ENSG00000198793.14
M0R226	ENSG00000130312.7
Q96EK5	ENSG00000198954.9
Q5J8M3	ENSG00000128463.13
Q9H3U1	ENSG00000140553.18
Q15291	ENSG00000117222.14
Q9NW68	ENSG00000160058.19
O15040	ENSG00000196663.16
Q96T76	ENSG00000155229.21
A0A7P0Z4R7	ENSG00000066279.19
Q16629	ENSG00000115875.19
Q13263	ENSG00000130726.12
Q9UIG0	ENSG00000009954.11
Q13042	ENSG00000130177.16
Q16513	ENSG00000065243.20
Q14258	ENSG00000121060.19
A0A5F9ZHP1	ENSG00000138303.19
Q8WXX5	ENSG00000213551.7
Q0VDF9	ENSG00000187522.16
Q16595	ENSG00000165060.15
O75167	ENSG00000112419.15
P51648	ENSG00000072210.19
Q969X6	ENSG00000141076.18
Q969X6	ENSG00000262788.3
Q53H96	ENSG00000104524.14
Q53H96	ENSG00000276657.2
Q13428	ENSG00000070814.22
G3V4C1	ENSG00000092199.19
Q9UKK6	ENSG00000132661.4
P11908	ENSG00000101911.13
K7ES25	ENSG00000124299.16
J3QQT2	ENSG00000265681.8
C9JME2	ENSG00000152767.17
Q6Y1H2	ENSG00000206527.10
H0Y6D8	ENSG00000112592.15
P26022	ENSG00000163661.4
Q9P032	ENSG00000123545.6
Q5UCC4	ENSG00000161671.17
F8WAS2	ENSG00000055957.11
Q9BTZ2	ENSG00000157326.19
Q9BTZ2	ENSG00000284807.3
P01130	ENSG00000130164.16
B1AP13	ENSG00000196352.18
A0A2R8Y891	ENSG00000152556.17
P46734	ENSG00000034152.20
P03923	ENSG00000198695.2
Q06323	ENSG00000092010.15
Q06323	ENSG00000284916.2
P46013	ENSG00000148773.14
Q9H2P0	ENSG00000101126.18
Q15545	ENSG00000178913.9
Q8N5M4	ENSG00000162222.14
A0A1W2PRB8	ENSG00000284057.1
O75962	ENSG00000038382.23
K7EIU8	ENSG00000141646.17
H7C1M2	ENSG00000159140.23
Q6PL24	ENSG00000100580.8
P12956	ENSG00000196419.13
A0A7P0Z4A2	ENSG00000130340.17
P05121	ENSG00000106366.9
Q15836	ENSG00000049245.13
O15144	ENSG00000163466.16
P61923	ENSG00000111481.10
Q12996	ENSG00000176102.13
P82930	ENSG00000074071.15
Q01995	ENSG00000149591.17
Q05639	ENSG00000101210.14
A0A7I2V5Z3	ENSG00000104969.11
Q9NQH7	ENSG00000196236.13
Q9UER7	ENSG00000204209.13
Q9UER7	ENSG00000206206.11
Q9UER7	ENSG00000206279.10
Q9UER7	ENSG00000231617.8
Q9UER7	ENSG00000227046.8
Q13015	ENSG00000213190.4
E9PLK3	ENSG00000141279.18
Q9BT22	ENSG00000033011.14
A0A087WUD3	ENSG00000198856.13
C9JFV4	ENSG00000141456.16
O95372	ENSG00000011009.12
O00410	ENSG00000065150.21
Q96S59	ENSG00000010017.13
P61225	ENSG00000181467.5
P56199	ENSG00000213949.10
Q7RTN6	ENSG00000266173.7
A0A7P0TB10	ENSG00000147852.17
O43677	ENSG00000109390.13
O75940	ENSG00000119953.14
A0A494C0X7	ENSG00000160255.19
P00403	ENSG00000198712.1
F8VVM2	ENSG00000075415.15
Q8N5I2	ENSG00000197070.14
P53004	ENSG00000106605.11
Q7RTS9	ENSG00000141627.14
A0A7P0T9E5	ENSG00000100749.9
Q5T6F2	ENSG00000137073.24
Q96G03	ENSG00000169299.14
O60814	ENSG00000197903.8
Q9UKV3	ENSG00000100813.15
P78559	ENSG00000166963.13
Q9Y584	ENSG00000177370.5
Q9Y584	ENSG00000278501.2
Q9Y584	ENSG00000277649.2
B0QYK0	ENSG00000182944.18
P34896	ENSG00000176974.22
P34896	ENSG00000284320.4
Q9Y3D3	ENSG00000182180.14
Q9UL25	ENSG00000080371.6
Q9BYN8	ENSG00000125901.6
Q9HB66	ENSG00000285723.2
E9PJ55	ENSG00000176148.16
Q8NBJ4	ENSG00000135052.16
O00299	ENSG00000213719.8
O00299	ENSG00000206394.8
O00299	ENSG00000226248.6
O00299	ENSG00000226417.6
O00299	ENSG00000226651.6
O00299	ENSG00000223639.6
O00299	ENSG00000230685.6
Q6P9H5	ENSG00000133561.15
I3L3D5	ENSG00000108518.8
Q8N0X7	ENSG00000133104.14
Q6NUK1	ENSG00000085491.17
Q6NUK1	ENSG00000284468.3
H3BNU9	ENSG00000153048.11
A0A2R8Y7E6	ENSG00000204842.18
P24666	ENSG00000143727.16
Q13200	ENSG00000175166.17
Q9NRK6	ENSG00000135776.5
Q96KB5	ENSG00000168078.10
B4DDN1	ENSG00000172053.18
O75600	ENSG00000100116.17
Q9BSC4	ENSG00000115761.17
P45974	ENSG00000111667.14
Q9Y6M1	ENSG00000073792.16
B5MCF9	ENSG00000100029.18
A0A7I2V518	ENSG00000164615.6
Q96JG6	ENSG00000004766.17
Q9NZN5	ENSG00000196914.9
P46019	ENSG00000044446.12
Q9NRX1	ENSG00000115946.8
Q9UFN0	ENSG00000136783.10
A0A499FJK2	ENSG00000105329.11
P0DI81	ENSG00000196459.15
A0A2R8Y6L6	ENSG00000100416.15
P05387	ENSG00000177600.9
Q96RP9	ENSG00000168827.15
A0A7P0Z489	ENSG00000154358.23
A0A7P0Z4D0	ENSG00000111331.14
Q9Y324	ENSG00000119616.11
Q9BPX5	ENSG00000136950.13
P51688	ENSG00000181523.13
P06241	ENSG00000010810.18
A0A0A0MRF6	ENSG00000127914.19
O75410	ENSG00000147526.20
Q9NZU5	ENSG00000071282.12
Q86XA9	ENSG00000129493.15
D6RAN8	ENSG00000108826.16
C9JMH6	ENSG00000167711
Q641Q2	ENSG00000099290.17
Q5VW26	ENSG00000147862.18
Q8IZF2	ENSG00000069122.19
A0A087WVD7	ENSG00000085231.14
A0A087WVD7	ENSG00000279247.3
P11413	ENSG00000160211.20
P60174	ENSG00000111669.15
Q9UEY8	ENSG00000148700.15
Q99471	ENSG00000123349.15
Q99471	ENSG00000291834.1
Q96D31	ENSG00000276045.4
Q5SS57	ENSG00000223532.10
P24593	ENSG00000115461.5
Q9BQQ3	ENSG00000114745.15
M0R3D4	ENSG00000105404.11
P50570	ENSG00000079805.19
Q9UNZ2	ENSG00000088833.18
Q86UV5	ENSG00000090686.16
P15170	ENSG00000103342.13
O15431	ENSG00000136868.11
Q3KQU3	ENSG00000116871.16
Q96EK9	ENSG00000198841.4
Q9H2U2	ENSG00000138777.20
Q6L8Q7	ENSG00000174840.9
Q8IY17	ENSG00000032444.17
Q96BM9	ENSG00000143862.8
Q9C0H2	ENSG00000136295.16
O75165	ENSG00000138246.17
Q9NXA8	ENSG00000124523.17
A0A3B3ITP4	ENSG00000151611.17
Q8NCH0	ENSG00000169105.8
P61221	ENSG00000164163.11
P13611	ENSG00000038427.16
O60234	ENSG00000130755.13
O60234	ENSG00000291873.1
Q9P013	ENSG00000150316.12
Q9BRP8	ENSG00000170473.17
Q13356	ENSG00000100023.20
Q86Y56	ENSG00000164818.16
Q15070	ENSG00000155463.14
Q96KP1	ENSG00000112685.14
A0A182DWF2	ENSG00000184470.21
Q9NP97	ENSG00000125971.18
Q13445	ENSG00000099203.7
V9GZ56	ENSG00000130520.11
A7E2V4	ENSG00000214655.11
Q15018	ENSG00000165660.8
Q00403	ENSG00000137947.12
C9JKI3	ENSG00000105974.13
O75663	ENSG00000143155.13
Q9NZV5	ENSG00000162430.18
Q9NY61	ENSG00000275700.6
Q9NY61	ENSG00000276072.2
P07311	ENSG00000119640.9
P41091	ENSG00000130741.11
P54687	ENSG00000060982.15
O15116	ENSG00000175324.10
Q8WVC0	ENSG00000166477.13
O95084	ENSG00000150687.12
P49207	ENSG00000109475.17
A5PLN9	ENSG00000113597.18
O43314	ENSG00000145725.21
Q96F85	ENSG00000119865.9
Q9UHR5	ENSG00000161526.15
E7EVX8	ENSG00000105618.14
E7EVX8	ENSG00000275885.4
Q13188	ENSG00000104375.17
P13645	ENSG00000186395.9
Q9UHB6	ENSG00000050405.14
A0A0C4DGQ6	ENSG00000141425.18
Q8IZQ5	ENSG00000211450.11
Q9BZE1	ENSG00000116221.15
A0A6Q8PFY7	ENSG00000114354.15
U3KQN1	ENSG00000028277.22
P62899	ENSG00000071082.11
C9JA93	ENSG00000121749.16
P62942	ENSG00000088832.18
Q86X27	ENSG00000116191.19
P26440	ENSG00000128928.10
P29692	ENSG00000104529.19
P29692	ENSG00000273594.4
P01137	ENSG00000105329.11
Q9BW85	ENSG00000105248.16
A0A7P0T9P7	ENSG00000147852.17
O95359	ENSG00000138162.19
Q9Y2Y9	ENSG00000169926.11
Q9Y2Y9	ENSG00000275746.1
E9PF32	ENSG00000105339.11
Q66LE6	ENSG00000175470.20
Q92973	ENSG00000083312.19
O75420	ENSG00000146830.11
J3KR35	ENSG00000160799.12
D6RD18	ENSG00000197451.12
Q15404	ENSG00000148484.18
Q86WC4	ENSG00000081087.16
Q8IVM0	ENSG00000152492.15
Q9Y5A9	ENSG00000198492.16
P48739	ENSG00000180957.19
Q9UNF0	ENSG00000100266.19
P51817	ENSG00000183943.6
Q9BXV9	ENSG00000170270.5
Q9BXV9	ENSG00000275619.2
Q96NB3	ENSG00000198783.6
Q9Y2K7	ENSG00000173120.15
Q9P2C4	ENSG00000146433.11
Q92989	ENSG00000172409.7
Q86X55	ENSG00000142453.13
A0A1B0GW84	ENSG00000113448.21
Q9H254	ENSG00000160460.17
Q9Y4E5	ENSG00000112200.17
P30405	ENSG00000108179.14
P43304	ENSG00000115159.17
Q9UFC0	ENSG00000161036.13
A0A6Q8PHQ1	ENSG00000121940.17
P11279	ENSG00000185896.11
P37837	ENSG00000177156.11
Q9NNX1	ENSG00000143367.17
O60884	ENSG00000069345.12
Q92626	ENSG00000130508.11
A0A0G2JRA5	ENSG00000277564.4
Q15233	ENSG00000147140.17
Q9H0U4	ENSG00000174903.16
Q9UK41	ENSG00000160948.14
Q9UK41	ENSG00000285339.2
Q14690	ENSG00000148843.15
E9PGA6	ENSG00000273294.1
P20929	ENSG00000183091.21
A8MU27	ENSG00000184900.16
A0A7P0TA16	ENSG00000100749.9
Q96TA1	ENSG00000136830.12
E9PFR3	ENSG00000112640.16
A0A6Q8NVI4	ENSG00000049618.24
Q96ND0	ENSG00000177150.13
Q4TT34	ENSG00000103202.13
Q08174	ENSG00000156453.14
A0A0B4J294	ENSG00000167515.11
Q13443	ENSG00000168615.13
J3QW43	ENSG00000129255.16
Q01581	ENSG00000112972.15
O15231	ENSG00000147394.20
O15231	ENSG00000292196.1
Q92665	ENSG00000102738.8
Q15181	ENSG00000180817.12
Q96GZ6	ENSG00000114544.17
J3KQE5	ENSG00000132341.12
P11117	ENSG00000134575.13
P02760	ENSG00000106927.12
E9PE15	ENSG00000109572.16
Q8N2F6	ENSG00000170632.14
J3KP75	ENSG00000112419.15
O14558	ENSG00000004776.13
Q92743	ENSG00000166033.13
O95816	ENSG00000112208.11
Q92544	ENSG00000101337.16
X6R8A1	ENSG00000064601.21
P62891	ENSG00000198918.8
O14936	ENSG00000147044.23
Q15075	ENSG00000102189.17
Q08AM6	ENSG00000103043.15
P04792	ENSG00000106211.10
O95166	ENSG00000170296.10
Q5U8S2	ENSG00000104915.15
Q99707	ENSG00000116984.15
A0A7I2V5A3	ENSG00000185359.14
O00264	ENSG00000101856.10
B4DEQ0	ENSG00000171503.13
Q6YP21	ENSG00000137944.18
P19013	ENSG00000170477.13
Q8WUP2	ENSG00000162458.13
P0C0L4	ENSG00000206340.10
P0C0L4	ENSG00000227746.10
P0C0L4	ENSG00000244731.10
Q13283	ENSG00000145907.16
P47813	ENSG00000173674.11
A0A5F9UK94	ENSG00000116337.20
O75152	ENSG00000058673.17
Q92990	ENSG00000174842.17
Q9BZL1	ENSG00000198258.11
Q8ND76	ENSG00000108100.18
Q08117	ENSG00000104964.15
Q9H3K6	ENSG00000183336.9
Q9H3K6	ENSG00000169627.9
P20290	ENSG00000145741.17
Q9BTC0	ENSG00000101191.17
A0A7I2V4E8	ENSG00000083067
Q8WXA9	ENSG00000153914.16
A6NGW1	ENSG00000174851.17
P43487	ENSG00000099901.18
C9J494	ENSG00000075975.17
A0A0A0MQW0	ENSG00000104177.20
A0A087X1K6	ENSG00000275746.1
E9PNN3	ENSG00000150787.8
P78316	ENSG00000087269.16
P35222	ENSG00000168036.19
P37275	ENSG00000148516.23
Q9Y3E0	ENSG00000111711.10
Q14257	ENSG00000117906.14
Q9H000	ENSG00000075975.17
O94973	ENSG00000183020.15
C9J9P8	ENSG00000184182.19
J3KQL8	ENSG00000128335.14
Q15042	ENSG00000115839.20
A0A2R8Y6M7	ENSG00000136104.22
E7ETC6	ENSG00000162493.17
Q00653	ENSG00000077150.21
Q9P015	ENSG00000137547.9
Q9H7Z7	ENSG00000148334.16
Q969E2	ENSG00000227500.11
P46199	ENSG00000085760.15
Q5VU43	ENSG00000178104.22
Q9BQG0	ENSG00000132382.15
P0DPB3	ENSG00000151967.19
O95825	ENSG00000205758.12
A0A0C4DGE4	ENSG00000166900.17
P45954	ENSG00000196177.13
V9GYE3	ENSG00000158874.11
O60220	ENSG00000126953.8
Q92890	ENSG00000070010.19
P21281	ENSG00000147416.11
Q5T0I0	ENSG00000148180
Q5TFE4	ENSG00000178425.14
Q8N264	ENSG00000138639.18
Q9NSU2	ENSG00000213689.14
P53680	ENSG00000042753.12
B0QY89	ENSG00000100129.18
A0A2R8Y425	ENSG00000111642.16
F8WBG6	ENSG00000169908.12
Q9UNN5	ENSG00000185104.21
P33991	ENSG00000104738.19
Q96DR4	ENSG00000164211.13
P31943	ENSG00000169045.19
P31943	ENSG00000284254.4
A0A494C0K7	ENSG00000160563.14
P51553	ENSG00000067829.20
O14618	ENSG00000173992.9
H0YDV4	ENSG00000159063.14
H0YC35	ENSG00000120885.22
Q969G6	ENSG00000135002.12
Q9Y2D4	ENSG00000144036.16
O14656	ENSG00000136827.12
A0A804HI20	ENSG00000135931.19
Q7Z3U7	ENSG00000061987.16
A0A7I2RAZ6	ENSG00000174485.16
Q9UKB1	ENSG00000072803.18
P10253	ENSG00000171298.15
P10253	ENSG00000291507.1
P29144	ENSG00000134900.13
A0A096LP22	ENSG00000187024.15
A0A7P0TAL7	ENSG00000159063.14
B7ZKW7	ENSG00000145242.14
Q9UEU0	ENSG00000100568.11
Q96H20	ENSG00000159210.10
Q13620	ENSG00000158290.19
Q969T7	ENSG00000141698.17
Q03111	ENSG00000130382.9
Q9UKF6	ENSG00000119203.14
Q9BWH6	ENSG00000103932.12
Q5JPF3	ENSG00000174501.15
D6RAH7	ENSG00000109332.20
A0A590UJP7	ENSG00000124193.16
Q14D04	ENSG00000197415.12
J3KPP4	ENSG00000108848.16
E9PNW4	ENSG00000284969.1
P14927	ENSG00000156467.10
Q9BS18	ENSG00000129055.13
P58876	ENSG00000158373.9
Q9Y5J1	ENSG00000011260.14
A0A3B3IRZ4	ENSG00000144711.17
O95169	ENSG00000166136.16
P47755	ENSG00000198898.16
M0QXZ5	ENSG00000131116.12
Q96I99	ENSG00000172340.15
P49137	ENSG00000162889.11
Q16401	ENSG00000095261.14
P61956	ENSG00000188612.12
O96011	ENSG00000131779.11
Q5T280	ENSG00000198917.13
H0YBI6	ENSG00000197763.20
Q5SZR4	ENSG00000182134.17
A0A804HJ08	ENSG00000130640.15
P35221	ENSG00000044115.21
P35968	ENSG00000128052.10
P48643	ENSG00000150753.12
P42126	ENSG00000167969.13
Q15365	ENSG00000169564.7
A0A2R8Y4T1	ENSG00000079308.21
P55268	ENSG00000172037.14
Q15025	ENSG00000145901.17
P51531	ENSG00000080503.25
Q9H074	ENSG00000172239.14
Q7Z406	ENSG00000105357.20
P16401	ENSG00000184357.5
P42858	ENSG00000197386.14
M0R3A4	ENSG00000104872.12
Q16563	ENSG00000008282.10
P51991	ENSG00000170144.22
A0A0A0MSK4	ENSG00000160360.13
O15235	ENSG00000128626.12
O15235	ENSG00000283018.1
Q92667	ENSG00000121057.13
O95486	ENSG00000113615.13
H0YJX2	ENSG00000100519.12
P00156	ENSG00000198727.2
E9PF18	ENSG00000138796.18
P37108	ENSG00000140319.11
Q53FA3	ENSG00000226704.6
Q13503	ENSG00000152944.9
Q86U86	ENSG00000163939.19
Q5VY43	ENSG00000187800.14
B8ZZG1	ENSG00000105926.16
Q9Y2B9	ENSG00000168734.14
P27361	ENSG00000102882.12
H0UI80	ENSG00000101158.15
A0A087WU53	ENSG00000102158.22
Q9BQA9	ENSG00000178927.19
Q9Y3B2	ENSG00000171311.13
Q8TCT9	ENSG00000101294.19
Q9NRG7	ENSG00000100445.18
P14866	ENSG00000104824.18
P14866	ENSG00000282947.2
P17535	ENSG00000130522.6
Q9C098	ENSG00000163673.8
Q9BUL9	ENSG00000178718.7
Q9NZQ3	ENSG00000213672.8
Q13671	ENSG00000174791.11
Q86TX2	ENSG00000184227.8
F5H6U7	ENSG00000111711.10
P31937	ENSG00000106049.9
Q93034	ENSG00000166266.14
P02511	ENSG00000109846.9
P13995	ENSG00000065911.13
Q6V1X1	ENSG00000074603.19
P13647	ENSG00000186081.12
P26583	ENSG00000164104.12
A0A1W2PPB7	ENSG00000134313.17
Q9UBQ7	ENSG00000137106.18
Q86Y39	ENSG00000174886.14
Q86Y39	ENSG00000292058.1
Q5VWQ8	ENSG00000136848.19
Q8IWT6	ENSG00000136802.12
Q8NCM8	ENSG00000187240.17
A0A7P0T838	ENSG00000100749.9
O43719	ENSG00000102241.12
Q96CD0	ENSG00000135722.9
O94979	ENSG00000138674.17
P17568	ENSG00000099795.7
P19404	ENSG00000178127.13
Q5TE64	ENSG00000171552.14
Q9BTT6	ENSG00000137269.15
A0A140T9I0	ENSG00000227715.11
Q9BSJ2	ENSG00000130640.15
P04275	ENSG00000110799.14
P35268	ENSG00000116251.11
O95630	ENSG00000124356.17
O00442	ENSG00000137996.13
P06744	ENSG00000105220.17
Q9NYY8	ENSG00000118246.14
A0A1W2PPG5	ENSG00000108433.17
P08579	ENSG00000125870.11
P98082	ENSG00000153071.15
Q9NVG8	ENSG00000107021.16
B7Z4M1	ENSG00000133318.14
Q96CN7	ENSG00000066583.12
P16989	ENSG00000060138.13
O43924	ENSG00000156973.14
Q14108	ENSG00000138760.11
Q6NXE6	ENSG00000105676.14
O00151	ENSG00000107438.9
Q6KC79	ENSG00000164190.19
J3QL56	ENSG00000133028.12
A0A494C186	ENSG00000172071.15
P38435	ENSG00000115486.13
Q96AX1	ENSG00000139719.12
F5GYQ1	ENSG00000159720.13
O95757	ENSG00000164070.12
O00116	ENSG00000018510.18
P33992	ENSG00000100297.16
A8MZH8	ENSG00000183255.12
P62854	ENSG00000197728.11
H7C4M0	ENSG00000168386.19
F5GX88	ENSG00000106991.15
Q02952	ENSG00000131016.17
Q9UKK3	ENSG00000102699.6
C9J1X0	ENSG00000105875.15
Q70CQ2	ENSG00000115464.15
Q9BUH6	ENSG00000148362.11
A2AB90	ENSG00000206208.11
A2AB90	ENSG00000231925.14
C9J7K9	ENSG00000188313.13
Q70J99	ENSG00000092929.13
Q9UBF2	ENSG00000158623.14
A0A5K1VW28	ENSG00000139163.16
P40763	ENSG00000168610.17
B0QY91	ENSG00000100139.14
Q5JTJ3	ENSG00000168275.16
Q9UQ13	ENSG00000108061.13
H7C0E5	ENSG00000109917.11
O43681	ENSG00000198356.12
Q9BRT6	ENSG00000139233.7
Q86TU7	ENSG00000183576.13
A0A0A0MSU4	ENSG00000141338.15
Q9UKX7	ENSG00000093000.19
A6NC98	ENSG00000168071.22
H7BYP1	ENSG00000083067.27
E7EUU4	ENSG00000114867.22
A0A1W2PS81	ENSG00000108433.17
A0A804HJ25	ENSG00000005810.20
P51790	ENSG00000109572.16
C9JZR2	ENSG00000198561.16
Q16270	ENSG00000163453.11
O15226	ENSG00000186416.18
Q5QJ74	ENSG00000154114.13
Q9HCN8	ENSG00000128228.5
Q14684	ENSG00000160208.13
Q9NZM3	ENSG00000198399.16
P46782	ENSG00000083845.9
G5E9D4	ENSG00000109911.19
C9J9V6	ENSG00000172113.10
Q05932	ENSG00000136877.15
P42356	ENSG00000241973.11
O60869	ENSG00000107223.13
Q8TEK3	ENSG00000104885.19
P60673	ENSG00000196570.3
P28799	ENSG00000030582.19
Q14694	ENSG00000103194.16
C9IYS7	ENSG00000127054.22
Q9H1I8	ENSG00000100325.15
A0A140T9T7	ENSG00000224748.4
H7BYM2	ENSG00000101844.18
O95139	ENSG00000165264.11
H0YIC4	ENSG00000062485.19
P33947	ENSG00000136240.10
Q13574	ENSG00000149091.15
A0A1B0GWJ4	ENSG00000147862.18
Q14254	ENSG00000132589.16
O95292	ENSG00000124164.16
P13747	ENSG00000204592.9
P13747	ENSG00000206493.7
P13747	ENSG00000229252.6
P13747	ENSG00000233904.6
P13747	ENSG00000236632.5
P13747	ENSG00000230254.7
P13747	ENSG00000225201.6
Q9BT40	ENSG00000132376.20
O60547	ENSG00000112699.11
P55769	ENSG00000100138.15
A0A590UKC4	ENSG00000103723.17
A0A7I2YQF8	ENSG00000084623.12
Q9NZ32	ENSG00000131966.14
B1ANH0	ENSG00000143774.18
Q7L311	ENSG00000184867.14
A0A087WUK2	ENSG00000152795.18
Q5JPH6	ENSG00000103356.18
Q8N9N7	ENSG00000180979.10
E7ETZ4	ENSG00000136261.16
Q8IXH7	ENSG00000101158.15
A0A7P0T893	ENSG00000105127.10
P14324	ENSG00000160752.15
P15408	ENSG00000075426.12
P20338	ENSG00000168118.12
Q7Z422	ENSG00000055070.17
Q7Z422	ENSG00000291379.1
H3BV55	ENSG00000140650.13
K7EKC1	ENSG00000125740.15
Q15102	ENSG00000079462.8
Q15417	ENSG00000117519.16
Q15418	ENSG00000117676.14
Q15418	ENSG00000281877.3
O95782	ENSG00000196961.13
Q9H1E5	ENSG00000125827.9
P34059	ENSG00000141012.13
Q9NY35	ENSG00000080822.17
B0QZ18	ENSG00000214078.13
O43156	ENSG00000101407.13
Q9NWT1	ENSG00000111845.5
