From	To
A0A024QZ33_HUMAN	ENSG00000126653.18
SYDC_HUMAN	ENSG00000115866.11
MTND_HUMAN	ENSG00000182551.14
ELAV1_HUMAN	ENSG00000066044.15
NCBP2_HUMAN	ENSG00000114503.11
MK01_HUMAN	ENSG00000100030.15
CANB1_HUMAN	ENSG00000221823.11
H0YBQ0_HUMAN	ENSG00000197763
ATRAP_HUMAN	ENSG00000177674.16
OAS2_HUMAN	ENSG00000111335.14
PI3R4_HUMAN	ENSG00000196455.8
D6RCP5_HUMAN	ENSG00000138639.18
ITIH1_HUMAN	ENSG00000055957.11
SPTA1_HUMAN	ENSG00000163554.15
NMT1_HUMAN	ENSG00000136448.13
PDXD1_HUMAN	ENSG00000179889.20
PDXD1_HUMAN	ENSG00000275498.5
AF1L1_HUMAN	ENSG00000157510.14
A0A590UJA9_HUMAN	ENSG00000164897.14
LAPM5_HUMAN	ENSG00000162511.8
UBE2F_HUMAN	ENSG00000184182.19
CIP2A_HUMAN	ENSG00000163507.15
VAT1_HUMAN	ENSG00000108828.16
ITF2_HUMAN	ENSG00000196628.20
TARA_HUMAN	ENSG00000100106.22
LRP10_HUMAN	ENSG00000197324.9
ROBO4_HUMAN	ENSG00000154133.15
H0YNG3_HUMAN	ENSG00000140612.14
E9PKZ4_HUMAN	ENSG00000175274.19
Q5QPA5_HUMAN	ENSG00000096080.12
CDC26_HUMAN	ENSG00000176386.9
RTF2_HUMAN	ENSG00000022277.13
A0A804HLD6_HUMAN	ENSG00000162430.18
AT2C1_HUMAN	ENSG00000017260.20
ARSB_HUMAN	ENSG00000113273.17
STRN_HUMAN	ENSG00000115808.13
ACSL1_HUMAN	ENSG00000151726.16
TF2H1_HUMAN	ENSG00000110768.12
TF2H1_HUMAN	ENSG00000288114.1
TPD54_HUMAN	ENSG00000101150.18
E9PS76_HUMAN	ENSG00000175376.9
SRPRA_HUMAN	ENSG00000182934.12
Q5T0Z6_HUMAN	ENSG00000135549.16
NECT2_HUMAN	ENSG00000130202.10
TBB2B_HUMAN	ENSG00000137285.11
ECI2_HUMAN	ENSG00000198721.13
TBC17_HUMAN	ENSG00000104946.14
F5H442_HUMAN	ENSG00000074319.13
NFXL1_HUMAN	ENSG00000170448.12
F6UJY1_HUMAN	ENSG00000178922.18
A0A7P0T8Q8_HUMAN	ENSG00000159063.14
U3KQK0_HUMAN	ENSG00000233822.6
A0A087X1C1_HUMAN	ENSG00000269226.8
A0A0C4DG17_HUMAN	ENSG00000168028.15
HSP72_HUMAN	ENSG00000126803.10
MTOR_HUMAN	ENSG00000198793.14
M0R226_HUMAN	ENSG00000130312.7
KBP_HUMAN	ENSG00000198954.9
EMC4_HUMAN	ENSG00000128463.13
UN45A_HUMAN	ENSG00000140553.18
RBBP5_HUMAN	ENSG00000117222.14
BSDC1_HUMAN	ENSG00000160058.19
TCPR2_HUMAN	ENSG00000196663.16
MMS19_HUMAN	ENSG00000155229.21
A0A7P0Z4R7_HUMAN	ENSG00000066279.19
SRSF7_HUMAN	ENSG00000115875.19
TIF1B_HUMAN	ENSG00000130726.12
BAZ1B_HUMAN	ENSG00000009954.11
CDC16_HUMAN	ENSG00000130177.16
PKN2_HUMAN	ENSG00000065243.20
TRI25_HUMAN	ENSG00000121060.19
A0A5F9ZHP1_HUMAN	ENSG00000138303.19
DNJC9_HUMAN	ENSG00000213551.7
HSP7E_HUMAN	ENSG00000187522.16
FRDA_HUMAN	ENSG00000165060.15
PHAR2_HUMAN	ENSG00000112419.15
AL3A2_HUMAN	ENSG00000072210.19
UTP4_HUMAN	ENSG00000141076.18
UTP4_HUMAN	ENSG00000262788.3
P5CR3_HUMAN	ENSG00000104524.14
P5CR3_HUMAN	ENSG00000276657.2
TCOF_HUMAN	ENSG00000070814.22
G3V4C1_HUMAN	ENSG00000092199.19
NXT1_HUMAN	ENSG00000132661.4
PRPS2_HUMAN	ENSG00000101911.13
K7ES25_HUMAN	ENSG00000124299.16
J3QQT2_HUMAN	ENSG00000265681.8
C9JME2_HUMAN	ENSG00000152767.17
HACD2_HUMAN	ENSG00000206527.10
H0Y6D8_HUMAN	ENSG00000112592.15
PTX3_HUMAN	ENSG00000163661.4
NDUF4_HUMAN	ENSG00000123545.6
EMC10_HUMAN	ENSG00000161671.17
F8WAS2_HUMAN	ENSG00000055957.11
DHRS4_HUMAN	ENSG00000157326.19
DHRS4_HUMAN	ENSG00000284807.3
LDLR_HUMAN	ENSG00000130164.16
B1AP13_HUMAN	ENSG00000196352.18
A0A2R8Y891_HUMAN	ENSG00000152556.17
MP2K3_HUMAN	ENSG00000034152.20
NU6M_HUMAN	ENSG00000198695.2
PSME1_HUMAN	ENSG00000092010.15
PSME1_HUMAN	ENSG00000284916.2
KI67_HUMAN	ENSG00000148773.14
ADNP_HUMAN	ENSG00000101126.18
TAF7_HUMAN	ENSG00000178913.9
TTC9C_HUMAN	ENSG00000162222.14
A0A1W2PRB8_HUMAN	ENSG00000284057.1
TRIO_HUMAN	ENSG00000038382.23
K7EIU8_HUMAN	ENSG00000141646.17
H7C1M2_HUMAN	ENSG00000159140.23
TMED8_HUMAN	ENSG00000100580.8
XRCC6_HUMAN	ENSG00000196419.13
A0A7P0Z4A2_HUMAN	ENSG00000130340.17
PAI1_HUMAN	ENSG00000106366.9
VAMP3_HUMAN	ENSG00000049245.13
ARPC2_HUMAN	ENSG00000163466.16
COPZ1_HUMAN	ENSG00000111481.10
CSTF3_HUMAN	ENSG00000176102.13
RT34_HUMAN	ENSG00000074071.15
TAGL_HUMAN	ENSG00000149591.17
EF1A2_HUMAN	ENSG00000101210.14
A0A7I2V5Z3_HUMAN	ENSG00000104969.11
XPP3_HUMAN	ENSG00000196236.13
DAXX_HUMAN	ENSG00000204209.13
DAXX_HUMAN	ENSG00000206206.11
DAXX_HUMAN	ENSG00000206279.10
DAXX_HUMAN	ENSG00000231617.8
DAXX_HUMAN	ENSG00000227046.8
AF1Q_HUMAN	ENSG00000213190.4
E9PLK3_HUMAN	ENSG00000141279.18
ALG1_HUMAN	ENSG00000033011.14
A0A087WUD3_HUMAN	ENSG00000198856.13
C9JFV4_HUMAN	ENSG00000141456.16
LYPA2_HUMAN	ENSG00000011009.12
IPO5_HUMAN	ENSG00000065150.21
RANB9_HUMAN	ENSG00000010017.13
RAP2B_HUMAN	ENSG00000181467.5
ITA1_HUMAN	ENSG00000213949.10
STRAA_HUMAN	ENSG00000266173.7
A0A7P0TB10_HUMAN	ENSG00000147852.17
NDUC1_HUMAN	ENSG00000109390.13
SPF30_HUMAN	ENSG00000119953.14
A0A494C0X7_HUMAN	ENSG00000160255.19
COX2_HUMAN	ENSG00000198712.1
F8VVM2_HUMAN	ENSG00000075415.15
ARRD1_HUMAN	ENSG00000197070.14
BIEA_HUMAN	ENSG00000106605.11
DYM_HUMAN	ENSG00000141627.14
A0A7P0T9E5_HUMAN	ENSG00000100749.9
UBAP2_HUMAN	ENSG00000137073.24
PGM2_HUMAN	ENSG00000169299.14
H2B1K_HUMAN	ENSG00000197903.8
ACINU_HUMAN	ENSG00000100813.15
MAP1A_HUMAN	ENSG00000166963.13
TIM22_HUMAN	ENSG00000177370.5
TIM22_HUMAN	ENSG00000278501.2
TIM22_HUMAN	ENSG00000277649.2
B0QYK0_HUMAN	ENSG00000182944.18
GLYC_HUMAN	ENSG00000176974.22
GLYC_HUMAN	ENSG00000284320.4
RT16_HUMAN	ENSG00000182180.14
RAB21_HUMAN	ENSG00000080371.6
RT26_HUMAN	ENSG00000125901.6
Q9HB66_HUMAN	ENSG00000285723.2
E9PJ55_HUMAN	ENSG00000176148.16
GOLM1_HUMAN	ENSG00000135052.16
CLIC1_HUMAN	ENSG00000213719.8
CLIC1_HUMAN	ENSG00000206394.8
CLIC1_HUMAN	ENSG00000226248.6
CLIC1_HUMAN	ENSG00000226417.6
CLIC1_HUMAN	ENSG00000226651.6
CLIC1_HUMAN	ENSG00000223639.6
CLIC1_HUMAN	ENSG00000230685.6
GIMA6_HUMAN	ENSG00000133561.15
I3L3D5_HUMAN	ENSG00000108518.8
SPART_HUMAN	ENSG00000133104.14
SCMC1_HUMAN	ENSG00000085491.17
SCMC1_HUMAN	ENSG00000284468.3
H3BNU9_HUMAN	ENSG00000153048.11
A0A2R8Y7E6_HUMAN	ENSG00000204842.18
PPAC_HUMAN	ENSG00000143727.16
PSMD2_HUMAN	ENSG00000175166.17
ABCBA_HUMAN	ENSG00000135776.5
TOPK_HUMAN	ENSG00000168078.10
B4DDN1_HUMAN	ENSG00000172053.18
KBL_HUMAN	ENSG00000100116.17
NOL10_HUMAN	ENSG00000115761.17
UBP5_HUMAN	ENSG00000111667.14
IF2B2_HUMAN	ENSG00000073792.16
B5MCF9_HUMAN	ENSG00000100029.18
A0A7I2V518_HUMAN	ENSG00000164615.6
VPS50_HUMAN	ENSG00000004766.17
ARHGC_HUMAN	ENSG00000196914.9
KPB2_HUMAN	ENSG00000044446.12
PNO1_HUMAN	ENSG00000115946.8
NPS3A_HUMAN	ENSG00000136783.10
A0A499FJK2_HUMAN	ENSG00000105329.11
TPC2A_HUMAN	ENSG00000196459.15
A0A2R8Y6L6_HUMAN	ENSG00000100416.15
RLA2_HUMAN	ENSG00000177600.9
EFGM_HUMAN	ENSG00000168827.15
A0A7P0Z489_HUMAN	ENSG00000154358.23
A0A7P0Z4D0_HUMAN	ENSG00000111331.14
FCF1_HUMAN	ENSG00000119616.11
ARP5L_HUMAN	ENSG00000136950.13
SPHM_HUMAN	ENSG00000181523.13
FYN_HUMAN	ENSG00000010810.18
A0A0A0MRF6_HUMAN	ENSG00000127914.19
TACC1_HUMAN	ENSG00000147526.20
LMCD1_HUMAN	ENSG00000071282.12
HTR5A_HUMAN	ENSG00000129493.15
D6RAN8_HUMAN	ENSG00000108826.16
C9JMH6_HUMAN	ENSG00000167711
WAC2A_HUMAN	ENSG00000099290.17
Q5VW26_HUMAN	ENSG00000147862.18
AGRF5_HUMAN	ENSG00000069122.19
A0A087WVD7_HUMAN	ENSG00000085231.14
A0A087WVD7_HUMAN	ENSG00000279247.3
G6PD_HUMAN	ENSG00000160211.20
TPIS_HUMAN	ENSG00000111669.15
ADDG_HUMAN	ENSG00000148700.15
PFD5_HUMAN	ENSG00000123349.15
PFD5_HUMAN	ENSG00000291834.1
Q5SS57_HUMAN	ENSG00000223532.10
IBP5_HUMAN	ENSG00000115461.5
GORS1_HUMAN	ENSG00000114745.15
M0R3D4_HUMAN	ENSG00000105404.11
DYN2_HUMAN	ENSG00000079805.19
NSF1C_HUMAN	ENSG00000088833.18
UBP48_HUMAN	ENSG00000090686.16
ERF3A_HUMAN	ENSG00000103342.13
COPT1_HUMAN	ENSG00000136868.11
MA7D1_HUMAN	ENSG00000116871.16
KTI12_HUMAN	ENSG00000198841.4
IPYR2_HUMAN	ENSG00000138777.20
PDE12_HUMAN	ENSG00000174840.9
PLPL6_HUMAN	ENSG00000032444.17
ARL8A_HUMAN	ENSG00000143862.8
TTYH3_HUMAN	ENSG00000136295.16
DJC13_HUMAN	ENSG00000138246.17
SIR5_HUMAN	ENSG00000124523.17
A0A3B3ITP4_HUMAN	ENSG00000151611.17
CHSTE_HUMAN	ENSG00000169105.8
ABCE1_HUMAN	ENSG00000164163.11
CSPG2_HUMAN	ENSG00000038427.16
GMFG_HUMAN	ENSG00000130755.13
GMFG_HUMAN	ENSG00000291873.1
CWC15_HUMAN	ENSG00000150316.12
PYM1_HUMAN	ENSG00000170473.17
PPIL2_HUMAN	ENSG00000100023.20
DAAF5_HUMAN	ENSG00000164818.16
OXA1L_HUMAN	ENSG00000155463.14
EXOC2_HUMAN	ENSG00000112685.14
A0A182DWF2_HUMAN	ENSG00000184470.21
DLRB1_HUMAN	ENSG00000125971.18
TMED1_HUMAN	ENSG00000099203.7
V9GZ56_HUMAN	ENSG00000130520.11
ZSWM8_HUMAN	ENSG00000214655.11
ABRX2_HUMAN	ENSG00000165660.8
TF2B_HUMAN	ENSG00000137947.12
C9JKI3_HUMAN	ENSG00000105974.13
TIPRL_HUMAN	ENSG00000143155.13
SELN_HUMAN	ENSG00000162430.18
AATF_HUMAN	ENSG00000275700.6
AATF_HUMAN	ENSG00000276072.2
ACYP1_HUMAN	ENSG00000119640.9
IF2G_HUMAN	ENSG00000130741.11
BCAT1_HUMAN	ENSG00000060982.15
LSM1_HUMAN	ENSG00000175324.10
LEO1_HUMAN	ENSG00000166477.13
PRS23_HUMAN	ENSG00000150687.12
RL34_HUMAN	ENSG00000109475.17
TPC13_HUMAN	ENSG00000113597.18
VIP2_HUMAN	ENSG00000145725.21
CNRP1_HUMAN	ENSG00000119865.9
S30BP_HUMAN	ENSG00000161526.15
E7EVX8_HUMAN	ENSG00000105618.14
E7EVX8_HUMAN	ENSG00000275885.4
STK3_HUMAN	ENSG00000104375.17
K1C10_HUMAN	ENSG00000186395.9
LIMA1_HUMAN	ENSG00000050405.14
A0A0C4DGQ6_HUMAN	ENSG00000141425.18
SELH_HUMAN	ENSG00000211450.11
RM37_HUMAN	ENSG00000116221.15
A0A6Q8PFY7_HUMAN	ENSG00000114354.15
U3KQN1_HUMAN	ENSG00000028277.22
RL31_HUMAN	ENSG00000071082.11
C9JA93_HUMAN	ENSG00000121749.16
FKB1A_HUMAN	ENSG00000088832.18
RGPS2_HUMAN	ENSG00000116191.19
IVD_HUMAN	ENSG00000128928.10
EF1D_HUMAN	ENSG00000104529.19
EF1D_HUMAN	ENSG00000273594.4
TGFB1_HUMAN	ENSG00000105329.11
YJU2_HUMAN	ENSG00000105248.16
A0A7P0T9P7_HUMAN	ENSG00000147852.17
TACC2_HUMAN	ENSG00000138162.19
KLF13_HUMAN	ENSG00000169926.11
KLF13_HUMAN	ENSG00000275746.1
E9PF32_HUMAN	ENSG00000105339.11
2ABD_HUMAN	ENSG00000175470.20
TNPO1_HUMAN	ENSG00000083312.19
GGYF1_HUMAN	ENSG00000146830.11
J3KR35_HUMAN	ENSG00000160799.12
D6RD18_HUMAN	ENSG00000197451.12
RSU1_HUMAN	ENSG00000148484.18
OSTM1_HUMAN	ENSG00000081087.16
CCD50_HUMAN	ENSG00000152492.15
YTHD2_HUMAN	ENSG00000198492.16
PIPNB_HUMAN	ENSG00000180957.19
PACN2_HUMAN	ENSG00000100266.19
PRKX_HUMAN	ENSG00000183943.6
GON7_HUMAN	ENSG00000170270.5
GON7_HUMAN	ENSG00000275619.2
ZN830_HUMAN	ENSG00000198783.6
KDM2A_HUMAN	ENSG00000173120.15
TM181_HUMAN	ENSG00000146433.11
CLP1_HUMAN	ENSG00000172409.7
CARM1_HUMAN	ENSG00000142453.13
A0A1B0GW84_HUMAN	ENSG00000113448.21
SPTN4_HUMAN	ENSG00000160460.17
ZN451_HUMAN	ENSG00000112200.17
PPIF_HUMAN	ENSG00000108179.14
GPDM_HUMAN	ENSG00000115159.17
LRWD1_HUMAN	ENSG00000161036.13
A0A6Q8PHQ1_HUMAN	ENSG00000121940.17
LAMP1_HUMAN	ENSG00000185896.11
TALDO_HUMAN	ENSG00000177156.11
TUFT1_HUMAN	ENSG00000143367.17
DNJA2_HUMAN	ENSG00000069345.12
PXDN_HUMAN	ENSG00000130508.11
A0A0G2JRA5_HUMAN	ENSG00000277564.4
NONO_HUMAN	ENSG00000147140.17
RAB1B_HUMAN	ENSG00000174903.16
VPS28_HUMAN	ENSG00000160948.14
VPS28_HUMAN	ENSG00000285339.2
RRP5_HUMAN	ENSG00000148843.15
E9PGA6_HUMAN	ENSG00000273294.1
NEBU_HUMAN	ENSG00000183091.21
A8MU27_HUMAN	ENSG00000184900.16
A0A7P0TA16_HUMAN	ENSG00000100749.9
NIBA2_HUMAN	ENSG00000136830.12
E9PFR3_HUMAN	ENSG00000112640.16
A0A6Q8NVI4_HUMAN	ENSG00000049618.24
F210A_HUMAN	ENSG00000177150.13
Q4TT34_HUMAN	ENSG00000103202.13
PCDH1_HUMAN	ENSG00000156453.14
A0A0B4J294_HUMAN	ENSG00000167515.11
ADAM9_HUMAN	ENSG00000168615.13
J3QW43_HUMAN	ENSG00000129255.16
HMCS1_HUMAN	ENSG00000112972.15
ZN185_HUMAN	ENSG00000147394.20
ZN185_HUMAN	ENSG00000292196.1
RT31_HUMAN	ENSG00000102738.8
IPYR_HUMAN	ENSG00000180817.12
S41A3_HUMAN	ENSG00000114544.17
J3KQE5_HUMAN	ENSG00000132341.12
PPAL_HUMAN	ENSG00000134575.13
AMBP_HUMAN	ENSG00000106927.12
E9PE15_HUMAN	ENSG00000109572.16
ARM10_HUMAN	ENSG00000170632.14
J3KP75_HUMAN	ENSG00000112419.15
HSPB6_HUMAN	ENSG00000004776.13
HTRA1_HUMAN	ENSG00000166033.13
BAG2_HUMAN	ENSG00000112208.11
TM9S4_HUMAN	ENSG00000101337.16
X6R8A1_HUMAN	ENSG00000064601.21
RL39_HUMAN	ENSG00000198918.8
CSKP_HUMAN	ENSG00000147044.23
EEA1_HUMAN	ENSG00000102189.17
VAC14_HUMAN	ENSG00000103043.15
HSPB1_HUMAN	ENSG00000106211.10
GBRAP_HUMAN	ENSG00000170296.10
Q5U8S2_HUMAN	ENSG00000104915.15
METH_HUMAN	ENSG00000116984.15
A0A7I2V5A3_HUMAN	ENSG00000185359.14
PGRC1_HUMAN	ENSG00000101856.10
B4DEQ0_HUMAN	ENSG00000171503.13
KAT3_HUMAN	ENSG00000137944.18
K2C4_HUMAN	ENSG00000170477.13
FBLI1_HUMAN	ENSG00000162458.13
CO4A_HUMAN	ENSG00000244731.10
CO4A_HUMAN	ENSG00000206340.10
CO4A_HUMAN	ENSG00000227746.10
G3BP1_HUMAN	ENSG00000145907.16
IF1AX_HUMAN	ENSG00000173674.11
ZC11A_HUMAN	ENSG00000058673.17
GLMN_HUMAN	ENSG00000174842.17
UBL5_HUMAN	ENSG00000198258.11
CCNY_HUMAN	ENSG00000108100.18
TLE5_HUMAN	ENSG00000104964.15
BOLA2_HUMAN	ENSG00000183336.9
BOLA2_HUMAN	ENSG00000169627.9
BTF3_HUMAN	ENSG00000145741.17
DIDO1_HUMAN	ENSG00000101191.17
A0A7I2V4E8_HUMAN	ENSG00000083067
SREK1_HUMAN	ENSG00000153914.16
A6NGW1_HUMAN	ENSG00000174851.17
RANG_HUMAN	ENSG00000099901.18
C9J494_HUMAN	ENSG00000075975.17
A0A0A0MQW0_HUMAN	ENSG00000104177.20
A0A087X1K6_HUMAN	ENSG00000275746.1
E9PNN3_HUMAN	ENSG00000150787.8
NOP14_HUMAN	ENSG00000087269.16
CTNB1_HUMAN	ENSG00000168036.19
ZEB1_HUMAN	ENSG00000148516.23
GOT1B_HUMAN	ENSG00000111711.10
RCN2_HUMAN	ENSG00000117906.14
MKRN2_HUMAN	ENSG00000075975.17
AP2A2_HUMAN	ENSG00000183020.15
C9J9P8_HUMAN	ENSG00000184182.19
J3KQL8_HUMAN	ENSG00000128335.14
RB3GP_HUMAN	ENSG00000115839.20
A0A2R8Y6M7_HUMAN	ENSG00000136104.22
E7ETC6_HUMAN	ENSG00000162493.17
NFKB2_HUMAN	ENSG00000077150.21
RM15_HUMAN	ENSG00000137547.9
PGES2_HUMAN	ENSG00000148334.16
SCAM4_HUMAN	ENSG00000227500.11
IF2M_HUMAN	ENSG00000085760.15
MYOME_HUMAN	ENSG00000178104.22
MBB1A_HUMAN	ENSG00000132382.15
SCHI1_HUMAN	ENSG00000151967.19
QORL1_HUMAN	ENSG00000205758.12
A0A0C4DGE4_HUMAN	ENSG00000166900.17
ACDSB_HUMAN	ENSG00000196177.13
V9GYE3_HUMAN	ENSG00000158874.11
TIM8A_HUMAN	ENSG00000126953.8
UFD1_HUMAN	ENSG00000070010.19
VATB2_HUMAN	ENSG00000147416.11
Q5T0I0_HUMAN	ENSG00000148180
NT5D1_HUMAN	ENSG00000178425.14
RHG24_HUMAN	ENSG00000138639.18
TREX1_HUMAN	ENSG00000213689.14
AP2S1_HUMAN	ENSG00000042753.12
B0QY89_HUMAN	ENSG00000100129.18
A0A2R8Y425_HUMAN	ENSG00000111642.16
F8WBG6_HUMAN	ENSG00000169908.12
FAF1_HUMAN	ENSG00000185104.21
MCM4_HUMAN	ENSG00000104738.19
STAR4_HUMAN	ENSG00000164211.13
HNRH1_HUMAN	ENSG00000169045.19
HNRH1_HUMAN	ENSG00000284254.4
A0A494C0K7_HUMAN	ENSG00000160563.14
IDH3G_HUMAN	ENSG00000067829.20
CCS_HUMAN	ENSG00000173992.9
H0YDV4_HUMAN	ENSG00000159063.14
H0YC35_HUMAN	ENSG00000120885.22
RIFK_HUMAN	ENSG00000135002.12
EXC6B_HUMAN	ENSG00000144036.16
TOR1A_HUMAN	ENSG00000136827.12
A0A804HI20_HUMAN	ENSG00000135931.19
MON2_HUMAN	ENSG00000061987.16
A0A7I2RAZ6_HUMAN	ENSG00000174485.16
FBW1B_HUMAN	ENSG00000072803.18
LYAG_HUMAN	ENSG00000171298.15
LYAG_HUMAN	ENSG00000291507.1
TPP2_HUMAN	ENSG00000134900.13
A0A096LP22_HUMAN	ENSG00000187024.15
A0A7P0TAL7_HUMAN	ENSG00000159063.14
B7ZKW7_HUMAN	ENSG00000145242.14
VTI1B_HUMAN	ENSG00000100568.11
SNF8_HUMAN	ENSG00000159210.10
CUL4B_HUMAN	ENSG00000158290.19
5NT3B_HUMAN	ENSG00000141698.17
ENL_HUMAN	ENSG00000130382.9
CPSF3_HUMAN	ENSG00000119203.14
RPAP1_HUMAN	ENSG00000103932.12
AN36C_HUMAN	ENSG00000174501.15
D6RAH7_HUMAN	ENSG00000109332.20
A0A590UJP7_HUMAN	ENSG00000124193.16
MELT_HUMAN	ENSG00000197415.12
J3KPP4_HUMAN	ENSG00000108848.16
E9PNW4_HUMAN	ENSG00000284969.1
QCR7_HUMAN	ENSG00000156467.10
APC13_HUMAN	ENSG00000129055.13
H2B1D_HUMAN	ENSG00000158373.9
UTP18_HUMAN	ENSG00000011260.14
A0A3B3IRZ4_HUMAN	ENSG00000144711.17
NDUB8_HUMAN	ENSG00000166136.16
CAZA2_HUMAN	ENSG00000198898.16
M0QXZ5_HUMAN	ENSG00000131116.12
SUCB2_HUMAN	ENSG00000172340.15
MAPK2_HUMAN	ENSG00000162889.11
PSMD5_HUMAN	ENSG00000095261.14
SUMO2_HUMAN	ENSG00000188612.12
PX11B_HUMAN	ENSG00000131779.11
CI114_HUMAN	ENSG00000198917.13
H0YBI6_HUMAN	ENSG00000197763.20
Q5SZR4_HUMAN	ENSG00000182134.17
