Uniprot ID	Uniprot gene ID	Gene name	Description	Color in plot	log2FC	Adjusted P value
Q9BTZ2	DHRS4_HUMAN	DHRS4	Dehydrogenase/reductase SDR family member 4 	blue	-0.4885724847979791	0.022080422723111028
P01130	LDLR_HUMAN	LDLR	Low-density lipoprotein receptor 	red	0.5156437897146695	0.00301113797157113
B1AP13	B1AP13_HUMAN	CD55	Complement decay-accelerating factor 	red	1.333034317921065	0.007039806137078401
Q8N5M4	TTC9C_HUMAN	TTC9C	Tetratricopeptide repeat protein 9C 	blue	-0.37616581545664296	0.000452012779351613
P12956	XRCC6_HUMAN	XRCC6	X-ray repair cross-complementing protein 6 	blue	-0.36084191987031033	0.004599715570820966
Q15836	VAMP3_HUMAN	VAMP3	Vesicle-associated membrane protein 3 	blue	-0.9811997127686602	0.0019514936698708356
P61923	COPZ1_HUMAN	COPZ1	Coatomer subunit zeta-1 	blue	-0.7208902190793545	0.003416962789907103
Q01995	TAGL_HUMAN	TAGLN	Transgelin 	blue	-1.0141524181093615	0.0016380744794502707
A0A7I2V5Z3	A0A7I2V5Z3_HUMAN	SGTA	Small glutamine-rich tetratricopeptide repeat-containing protein alpha 	blue	-0.42839886257916504	0.003975892093182522
E9PLK3	E9PLK3_HUMAN	NPEPPS	Aminopeptidase 	blue	-0.27919552651537316	0.010498579165589201
A0A087WUD3	A0A087WUD3_HUMAN	OSTC	Oligosaccharyltransferase complex subunit 	blue	-1.3526920265990476	0.0009170458622964305
O95372	LYPA2_HUMAN	LYPLA2	Acyl-protein thioesterase 2 	blue	-0.5909082419369582	0.009163356735901905
O00410	IPO5_HUMAN	IPO5	Importin-5 	blue	-0.2195313179524696	0.003917115553922541
P61225	RAP2B_HUMAN	RAP2B	Ras-related protein Rap-2b 	blue	-1.0500800437431828	4.414152335159815e-05
O75940	SPF30_HUMAN	SMNDC1	Survival of motor neuron-related-splicing factor 30 	blue	-0.9286645151084585	0.001078434142718124
P00403	COX2_HUMAN	MT-CO2	Cytochrome c oxidase subunit 2 	blue	-0.7359808518387148	0.0007476503528837661
Q5T6F2	UBAP2_HUMAN	UBAP2	Ubiquitin-associated protein 2 	blue	-0.3196569277697314	0.020973382280782278
Q96G03	PGM2_HUMAN	PGM2	Phosphoglucomutase-2 	green	-0.18392816018361202	0.03528352893583044
P78559	MAP1A_HUMAN	MAP1A	Microtubule-associated protein 1A 	red	1.3163785163619135	0.0022087829218064557
B0QYK0	B0QYK0_HUMAN	EWSR1	RNA-binding protein EWS 	blue	-0.38599428768206145	0.004296250240260366
Q9Y3D3	RT16_HUMAN	MRPS16	28S ribosomal protein S16, mitochondrial 	blue	-0.41594823297219463	0.02554697933229185
Q9UL25	RAB21_HUMAN	RAB21	Ras-related protein Rab-21 	red	0.25037916775747426	0.03366196751568503
Q9HB66	Q9HB66_HUMAN	MKKS	Alternative protein MKKS 	blue	-1.1237934801413942	0.0006108853913349428
E9PJ55	E9PJ55_HUMAN	TCP11L1	T-complex protein 11-like protein 1 	blue	-0.43334839605434894	0.006575407966166196
Q6P9H5	GIMA6_HUMAN	GIMAP6	GTPase IMAP family member 6 	red	1.1770680636950779	0.012747868255558834
Q6NUK1	SCMC1_HUMAN	SLC25A24	Calcium-binding mitochondrial carrier protein SCaMC-1 	blue	-0.3778834513086089	0.0036839559955705605
A0A2R8Y7E6	A0A2R8Y7E6_HUMAN	ATXN2	Ataxin-2 	blue	-0.505258863709571	0.02379085982091132
P24666	PPAC_HUMAN	ACP1	Low molecular weight phosphotyrosine protein phosphatase 	blue	-0.4721408379037033	2.3048625182825956e-05
Q13200	PSMD2_HUMAN	PSMD2	26S proteasome non-ATPase regulatory subunit 2 	blue	-0.45051152081769175	0.012663907034027996
Q9BSC4	NOL10_HUMAN	NOL10	Nucleolar protein 10 	red	0.7338046537602487	0.006766797234050013
P45974	UBP5_HUMAN	USP5	Ubiquitin carboxyl-terminal hydrolase 5 	blue	-0.36261120964809734	0.026956658613384334
Q9Y6M1	IF2B2_HUMAN	IGF2BP2	Insulin-like growth factor 2 mRNA-binding protein 2 	blue	-0.7985515057952561	0.012280144175919843
P46019	KPB2_HUMAN	PHKA2	Phosphorylase b kinase regulatory subunit alpha, liver isoform 	red	0.47624704346327995	0.004930104402036834
P05387	RLA2_HUMAN	RPLP2	60S acidic ribosomal protein P2 	blue	-0.385870469195396	0.032481309605054874
Q96RP9	EFGM_HUMAN	GFM1	Elongation factor G, mitochondrial 	red	1.5225891358080812	0.008179778244875325
Q9BPX5	ARP5L_HUMAN	ARPC5L	Actin-related protein 2/3 complex subunit 5-like protein 	blue	-0.7023245394093838	0.03842002965727534
P06241	FYN_HUMAN	FYN	Tyrosine-protein kinase Fyn 	blue	-0.3436181777033287	0.002212072513935905
A0A0A0MRF6	A0A0A0MRF6_HUMAN	AKAP9	A-kinase anchor protein 9 	blue	-0.5521839778091859	0.002563503087201094
Q8IZF2	AGRF5_HUMAN	ADGRF5	Adhesion G protein-coupled receptor F5 	blue	-0.5261817308811914	0.004277235844214299
P60174	TPIS_HUMAN	TPI1	Triosephosphate isomerase 	blue	-0.33931871457791374	0.00800415698981424
Q96BM9	ARL8A_HUMAN	ARL8A	ADP-ribosylation factor-like protein 8A 	blue	-0.27195326905694905	0.01943799505363895
Q9C0H2	TTYH3_HUMAN	TTYH3	Protein tweety homolog 3 	blue	-0.6258269713680793	0.010540092378280219
A0A3B3ITP4	A0A3B3ITP4_HUMAN	MMAA	Methylmalonic aciduria type A protein, mitochondrial 	blue	-0.8062189367743322	0.0010461440380878841
Q13356	PPIL2_HUMAN	PPIL2	RING-type E3 ubiquitin-protein ligase PPIL2 	blue	-0.2980796204753098	0.038326499102463676
Q9NP97	DLRB1_HUMAN	DYNLRB1	Dynein light chain roadblock-type 1 	blue	-0.4886538851710256	0.0019251825676911665
V9GZ56	V9GZ56_HUMAN	LSM4	U6 snRNA-associated Sm-like protein LSm4 (Fragment) 	blue	-0.7727926019802815	0.0018017679569403298
A7E2V4	ZSWM8_HUMAN	ZSWIM8	Zinc finger SWIM domain-containing protein 8 	red	0.3524286403392942	0.044344681002508664
C9JKI3	C9JKI3_HUMAN	CAV1	Caveolin (Fragment) 	blue	-0.6202714659982362	0.045618596480098306
Q9NY61	AATF_HUMAN	AATF	Protein AATF 	green	-0.18693244616697768	0.0005700085327491242
P07311	ACYP1_HUMAN	ACYP1	Acylphosphatase-1 	blue	-0.5662181173408332	0.006575407966166196
E7EVX8	E7EVX8_HUMAN	PRPF31	Pre-mRNA-processing factor 31 	blue	-0.21211434932523332	0.0038642784852037223
Q13188	STK3_HUMAN	STK3	Serine/threonine-protein kinase 3 	blue	-0.40465299118944387	0.0017509998518864434
P13645	K1C10_HUMAN	KRT10	Keratin, type I cytoskeletal 10 	blue	-0.7606695130983443	0.03385538754229954
Q9UHB6	LIMA1_HUMAN	LIMA1	LIM domain and actin-binding protein 1 	blue	-0.5291570697244659	0.029205255689634013
A0A0C4DGQ6	A0A0C4DGQ6_HUMAN	RPRD1A	Regulation of nuclear pre-mRNA domain-containing protein 1A 	blue	-0.24146079740175175	0.047162085758201806
Q9BZE1	RM37_HUMAN	MRPL37	39S ribosomal protein L37, mitochondrial 	blue	-0.7733421362335076	0.02278244710359851
Q86X27	RGPS2_HUMAN	RALGPS2	Ras-specific guanine nucleotide-releasing factor RalGPS2 	red	0.39979666775342615	0.04371165164685815
P26440	IVD_HUMAN	IVD	Isovaleryl-CoA dehydrogenase, mitochondrial 	green	-0.19501432003075436	0.026254770282392977
Q66LE6	2ABD_HUMAN	PPP2R2D	Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B delta isoform 	blue	-0.5120854152884782	0.0083245966631428
Q92973	TNPO1_HUMAN	TNPO1	Transportin-1 	blue	-0.5664341501399619	0.013084270281671351
P48739	PIPNB_HUMAN	PITPNB	Phosphatidylinositol transfer protein beta isoform 	blue	-0.8744773839023114	0.00018255537611127216
P51817	PRKX_HUMAN	PRKX	cAMP-dependent protein kinase catalytic subunit PRKX 	blue	-0.6251561246467876	7.002074724361401e-05
Q9Y2K7	KDM2A_HUMAN	KDM2A	Lysine-specific demethylase 2A 	blue	-0.9826768031606115	0.001062245581363246
Q9H254	SPTN4_HUMAN	SPTBN4	Spectrin beta chain, non-erythrocytic 4 	red	2.4632202688560767	0.03158534579217302
Q9UK41	VPS28_HUMAN	VPS28	Vacuolar protein sorting-associated protein 28 homolog 	blue	-0.3630992009870937	0.018256282260112746
A8MU27	A8MU27_HUMAN	SUMO3	Small ubiquitin-related modifier 3 	blue	-0.5518178933110818	0.00017348529675878052
Q96TA1	NIBA2_HUMAN	NIBAN2	Protein Niban 2 	blue	-0.3041579192128694	0.012746998507289607
E9PFR3	E9PFR3_HUMAN	PPP2R5D	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit 	blue	-0.3138649079828397	0.009735093070537578
A0A0B4J294	A0A0B4J294_HUMAN	TRAPPC2L	Trafficking protein particle complex subunit 2-like protein 	blue	-0.8715574076100214	0.010522296304907119
A0A087WYN9	A0A087WYN9_HUMAN	DHX29	ATP-dependent RNA helicase DHX29 	blue	-0.3621739673552078	0.02374139491892182
Q13443	ADAM9_HUMAN	ADAM9	Disintegrin and metalloproteinase domain-containing protein 9 	blue	-0.27863662913515164	0.02278244710359851
J3QW43	J3QW43_HUMAN	MPDU1	Mannose-P-dolichol utilization defect 1 protein 	blue	-1.0480985668694949	0.004973648544734382
O15231	ZN185_HUMAN	ZNF185	Zinc finger protein 185 	blue	-0.6922819625533645	0.0002733488718449464
Q15181	IPYR_HUMAN	PPA1	Inorganic pyrophosphatase 	blue	-0.3650658503176665	0.014537949531088196
Q96GZ6	S41A3_HUMAN	SLC41A3	Solute carrier family 41 member 3 	blue	-0.3735975663020099	2.2321056582420883e-05
J3KQE5	J3KQE5_HUMAN	RAN	GTP-binding nuclear protein Ran (Fragment) 	blue	-0.29729403915066754	0.0012030303875916414
Q15075	EEA1_HUMAN	EEA1	Early endosome antigen 1 	blue	-0.2657957912372435	0.005012700601120978
Q08AM6	VAC14_HUMAN	VAC14	Protein VAC14 homolog 	red	0.48369194419470674	0.00015797539683879092
P04792	HSPB1_HUMAN	HSPB1	Heat shock protein beta-1 	blue	-0.420819787259898	0.0008646134696834606
O95166	GBRAP_HUMAN	GABARAP	Gamma-aminobutyric acid receptor-associated protein 	green	-0.18501856116726323	0.03256266965940454
Q5U8S2	Q5U8S2_HUMAN	STX10	Syntaxin-10 	blue	-0.2424467953827012	0.04033461606951656
Q8WUP2	FBLI1_HUMAN	FBLIM1	Filamin-binding LIM protein 1 	blue	-0.5389791975567633	0.001062245581363246
P47813	IF1AX_HUMAN	EIF1AX	Eukaryotic translation initiation factor 1A, X-chromosomal 	blue	-0.9050358255666033	0.0017710221479042669
Q9H3K6	BOLA2_HUMAN	BOLA2	BolA-like protein 2 	blue	-0.33923633106979345	0.0006623055291649058
Q9BTC0	DIDO1_HUMAN	DIDO1	Death-inducer obliterator 1 	red	0.3369926528592071	0.009048075525468042
A6NGW1	A6NGW1_HUMAN	YIF1A	Protein YIF1A 	blue	-0.644703989344805	0.004317483898795993
P43487	RANG_HUMAN	RANBP1	Ran-specific GTPase-activating protein 	blue	-0.20992696143188283	0.03808551474729289
P37275	ZEB1_HUMAN	ZEB1	Zinc finger E-box-binding homeobox 1 	blue	-0.5117461449738432	0.0008966421640430895
Q14257	RCN2_HUMAN	RCN2	Reticulocalbin-2 	blue	-0.21590303586831538	0.0029849020373422593
P46199	IF2M_HUMAN	MTIF2	Translation initiation factor IF-2, mitochondrial 	blue	-0.9807762261620052	0.005244495901332451
P45954	ACDSB_HUMAN	ACADSB	Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial 	blue	-0.4167501002481995	0.01656552503796201
Q92890	UFD1_HUMAN	UFD1	Ubiquitin recognition factor in ER-associated degradation protein 1 	blue	-0.4097981965303994	0.024285228304964563
P21281	VATB2_HUMAN	ATP6V1B2	V-type proton ATPase subunit B, brain isoform 	blue	-0.28738010394385327	0.0009376922668429847
Q9NSU2	TREX1_HUMAN	TREX1	Three-prime repair exonuclease 1 	blue	-1.16269123356801	0.007695150938919877
P53680	AP2S1_HUMAN	AP2S1	AP-2 complex subunit sigma 	blue	-0.24784159383036375	0.012104846057217665
B0QY89	B0QY89_HUMAN	EIF3L	Eukaryotic translation initiation factor 3 subunit L 	blue	-0.20379074724215585	4.414152335159815e-05
P33991	MCM4_HUMAN	MCM4	DNA replication licensing factor MCM4 	blue	-0.7090526340101828	0.008485913602745625
P10253	LYAG_HUMAN	GAA	Lysosomal alpha-glucosidase 	blue	-0.8560590950963896	0.00020288259421456274
F8WAJ0	F8WAJ0_HUMAN	DDX31	RNA helicase 	red	0.6147110926131472	0.030913932379421295
Q96H20	SNF8_HUMAN	SNF8	Vacuolar-sorting protein SNF8 	blue	-0.4592431789692366	0.006345189237906894
Q9UKF6	CPSF3_HUMAN	CPSF3	Cleavage and polyadenylation specificity factor subunit 3 	blue	-0.3536470923707622	0.026688121449584722
Q14D04	MELT_HUMAN	VEPH1	Ventricular zone-expressed PH domain-containing protein homolog 1 	blue	-0.316506999293793	0.024848982512497335
J3KPP4	J3KPP4_HUMAN	LUC7L3	Cisplatin resistance-associated overexpressed protein, isoform CRA_b 	blue	-0.31502808534395577	0.00658324587992519
E9PNW4	E9PNW4_HUMAN	NA	CD59 glycoprotein 	green	-0.1754778221576565	0.04016485787575783
P14927	QCR7_HUMAN	UQCRB	Cytochrome b-c1 complex subunit 7 	blue	-0.49390722605017245	0.0016502603135332018
Q9Y5J1	UTP18_HUMAN	UTP18	U3 small nucleolar RNA-associated protein 18 homolog 	orange	0.19778281802360098	0.00974504350739437
O95169	NDUB8_HUMAN	NDUFB8	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial 	red	0.5091654913113484	0.0013292786480968066
P61956	SUMO2_HUMAN	SUMO2	Small ubiquitin-related modifier 2 	blue	-0.756484270685343	0.0021254156590802802
Q5T280	CI114_HUMAN	SPOUT1	Putative methyltransferase C9orf114 	red	0.7853668470875661	0.005282939458048837
P35968	VGFR2_HUMAN	KDR	Vascular endothelial growth factor receptor 2 	blue	-0.5528611119654467	0.0008868501323654035
P48643	TCPE_HUMAN	CCT5	T-complex protein 1 subunit epsilon 	blue	-0.26005933581519614	7.002074724361401e-05
P42126	ECI1_HUMAN	ECI1	Enoyl-CoA delta isomerase 1, mitochondrial 	blue	-0.7371926905226882	0.04407190639839032
Q15365	PCBP1_HUMAN	PCBP1	Poly(rC)-binding protein 1 	blue	-0.2600475412964016	0.0014307877526259203
A0A2R8Y4T1	A0A2R8Y4T1_HUMAN	TNS1	Tensin-1 	green	-0.16292709997776456	0.026011412150317787
P55268	LAMB2_HUMAN	LAMB2	Laminin subunit beta-2 	blue	-0.420482740323294	0.0027076972594580794
P51531	SMCA2_HUMAN	SMARCA2	Probable global transcription activator SNF2L2 	green	-0.2000007486571036	0.03520803482389331
Q92667	AKAP1_HUMAN	AKAP1	A-kinase anchor protein 1, mitochondrial 	green	-0.16380524176266498	0.00017348529675878052
P00156	CYB_HUMAN	MT-CYB	Cytochrome b 	blue	-1.0709980944915536	0.0055895007987847335
P37108	SRP14_HUMAN	SRP14	Signal recognition particle 14 kDa protein 	blue	-0.37193301842907545	0.001386721166419032
H0UI80	H0UI80_HUMAN	NELFCD	Negative elongation factor C/D 	blue	-0.4403296621276951	0.015437816050653332
Q9Y3B2	EXOS1_HUMAN	EXOSC1	Exosome complex component CSL4 	blue	-0.6208230910663755	0.0038395448345263125
Q9NRG7	D39U1_HUMAN	SDR39U1	Epimerase family protein SDR39U1 	blue	-0.2352598287975738	0.000592138701551694
Q13671	RIN1_HUMAN	RIN1	Ras and Rab interactor 1 	blue	-0.5178634821920713	0.045682951802505777
A0A087WTG3	A0A087WTG3_HUMAN	CUL3	Cullin-3 	blue	-0.5526983838174857	0.015190489334771512
Q93034	CUL5_HUMAN	CUL5	Cullin-5 	red	1.6903427961486202	0.0003131598964921674
P26583	HMGB2_HUMAN	HMGB2	High mobility group protein B2 	blue	-0.4996497278305174	0.005476902813673412
Q9UBQ7	GRHPR_HUMAN	GRHPR	Glyoxylate reductase/hydroxypyruvate reductase 	blue	-0.43888900802312136	0.006850336390959233
Q86Y39	NDUAB_HUMAN	NDUFA11	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11 	blue	-1.6060654185591758	1.0497855023189035e-05
Q5VWQ8	DAB2P_HUMAN	DAB2IP	Disabled homolog 2-interacting protein 	blue	-0.5212621591626441	0.0009876305893044193
O94979	SC31A_HUMAN	SEC31A	Protein transport protein Sec31A 	blue	-2.3306152653310512	0.01851997449284841
P19404	NDUV2_HUMAN	NDUFV2	NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial 	blue	-0.45180635656964085	0.0030427226012817794
A0A140T9I0	A0A140T9I0_HUMAN	HLA-A	HLA class I histocompatibility antigen, A alpha chain (Fragment) 	blue	-0.6164933664356713	0.0004943138523295266
O95630	STABP_HUMAN	STAMBP	STAM-binding protein 	blue	-0.8305268177888507	0.008379853526405013
A0A1W2PPG5	A0A1W2PPG5_HUMAN	GOSR2	Golgi SNAP receptor complex member 2 	blue	-0.2530044186239042	0.01865242390591351
P98082	DAB2_HUMAN	DAB2	Disabled homolog 2 	blue	-0.23715903041971487	0.021969035325829427
P16989	YBOX3_HUMAN	YBX3	Y-box-binding protein 3 	blue	-0.5037015971143308	0.004552260884147833
O43924	PDE6D_HUMAN	PDE6D	Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta 	blue	-0.5101568142967423	0.023883528749526005
Q14108	SCRB2_HUMAN	SCARB2	Lysosome membrane protein 2 	blue	-0.6455769607274995	0.013449417410781784
Q6NXE6	ARMC6_HUMAN	ARMC6	Armadillo repeat-containing protein 6 	blue	-0.5382703055836959	0.0116846361327469
O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1 	green	-0.11849529110312318	0.029459483603756186
Q96AX1	VP33A_HUMAN	VPS33A	Vacuolar protein sorting-associated protein 33A 	blue	-0.580541177752746	0.001703904475960962
